Video_name,happy,angry,sad,surprise,disgust,fear,neutral
000_003.mp4,0,0,8,0,292,1,2
001_870.mp4,6,0,32,4,550,12,0
002_006.mp4,75,0,52,0,210,14,2
003_000.mp4,186,5,15,0,20,170,0
004_982.mp4,19,0,1,1,723,105,0
005_010.mp4,0,0,3,0,428,44,0
006_002.mp4,8,0,0,94,542,54,0
007_132.mp4,2,0,5,156,250,0,0
008_990.mp4,4,0,11,0,126,118,51
009_027.mp4,53,0,30,0,0,232,0
010_005.mp4,0,0,190,0,383,26,0
011_805.mp4,231,0,7,0,503,71,13
012_026.mp4,6,0,10,6,168,118,14
013_883.mp4,0,0,133,1,248,12,16
014_790.mp4,15,0,6,8,695,13,1
015_919.mp4,424,38,43,0,21,25,0
016_209.mp4,0,0,3,0,325,1,8
017_803.mp4,67,1,74,6,18,127,0
018_019.mp4,136,13,106,91,562,470,7
019_018.mp4,8,0,226,0,104,52,25
020_344.mp4,166,10,58,13,369,46,0
021_312.mp4,2,2,29,20,78,321,0
022_489.mp4,312,0,94,13,63,66,56
023_923.mp4,0,0,3,1,598,2,0
024_073.mp4,36,0,233,0,172,9,170
025_067.mp4,18,0,58,11,412,17,34
026_012.mp4,66,65,66,2,171,22,30
027_009.mp4,1,0,54,0,323,1,0
028_068.mp4,40,0,6,20,118,230,0
029_048.mp4,18,0,9,2,470,9,15
030_193.mp4,13,0,10,9,283,57,5
031_163.mp4,140,0,39,6,170,40,0
032_944.mp4,0,0,2,6,324,12,0
033_097.mp4,306,1,8,0,319,205,0
034_590.mp4,218,8,62,60,219,6,26
035_036.mp4,101,0,51,7,69,109,0
036_035.mp4,0,0,0,0,422,0,1
037_072.mp4,0,0,0,0,311,0,0
038_125.mp4,0,0,0,226,267,5,0
039_058.mp4,4,0,1,0,647,17,0
040_997.mp4,40,86,22,68,191,19,14
041_063.mp4,279,0,181,15,455,1,0
042_084.mp4,162,10,0,0,195,5,3
043_110.mp4,162,0,18,2,6,366,0
044_945.mp4,0,0,13,7,752,0,3
045_889.mp4,6,0,2,30,153,93,49
046_904.mp4,0,19,0,76,258,6,0
047_862.mp4,108,0,68,0,160,134,0
048_029.mp4,73,0,313,0,348,72,0
049_946.mp4,0,0,0,75,77,110,0
050_059.mp4,721,0,0,0,0,0,0
051_332.mp4,8,3,16,97,259,25,287
052_108.mp4,14,0,248,26,27,22,2
053_095.mp4,36,0,16,13,778,114,52
054_071.mp4,0,0,0,1,413,39,0
055_147.mp4,96,0,36,164,288,238,0
056_996.mp4,154,0,11,0,59,98,0
057_070.mp4,4,0,2,25,334,3,0
058_039.mp4,0,0,8,0,605,0,0
059_050.mp4,0,0,2,0,530,0,0
060_088.mp4,28,0,202,37,55,596,0
061_080.mp4,39,0,37,0,374,70,0
062_066.mp4,0,0,1,7,428,0,0
063_041.mp4,18,0,14,0,265,52,0
064_991.mp4,90,2,7,0,237,66,0
065_089.mp4,49,0,19,125,550,6,4
066_062.mp4,0,0,0,15,10,106,0
067_025.mp4,38,0,250,1,352,99,7
068_028.mp4,3,0,48,5,238,32,108
069_961.mp4,3,0,41,0,249,0,30
070_057.mp4,3,0,26,1,370,8,6
071_054.mp4,34,0,93,54,188,7,6
072_037.mp4,0,0,1,0,450,3,0
073_024.mp4,0,0,9,0,162,135,0
074_825.mp4,2,0,1,0,520,5,28
075_977.mp4,29,0,23,350,231,406,1
076_079.mp4,16,0,12,0,400,4,0
077_100.mp4,11,0,89,5,149,163,40
078_955.mp4,6,0,1,0,524,0,0
079_076.mp4,105,0,0,3,221,0,0
080_061.mp4,35,0,1,12,273,16,0
081_087.mp4,0,0,4,0,303,0,2
082_103.mp4,0,0,0,3,592,0,0
083_213.mp4,312,0,4,22,213,464,0
084_042.mp4,44,0,54,201,205,77,1
085_124.mp4,9,0,0,0,309,0,0
086_090.mp4,0,0,19,0,355,311,0
087_081.mp4,1101,1,20,0,1,43,0
088_060.mp4,1,1,2,0,802,21,20
089_065.mp4,67,0,17,1,339,20,0
090_086.mp4,12,2,18,34,824,15,38
091_116.mp4,50,0,29,4,283,3,13
092_098.mp4,0,0,0,0,299,1,0
093_121.mp4,0,0,74,9,527,13,5
094_111.mp4,0,0,247,0,433,1,0
095_053.mp4,50,0,153,11,110,107,0
096_101.mp4,59,1,21,18,968,81,0
097_033.mp4,527,1,0,3,194,84,0
098_092.mp4,29,0,187,0,243,2,1
099_295.mp4,21,0,1,160,209,26,0
100_077.mp4,119,0,5,44,438,5,3
101_096.mp4,77,6,39,4,178,158,26
102_114.mp4,921,1,0,0,12,250,0
103_082.mp4,12,0,42,0,170,70,25
104_126.mp4,46,4,12,73,16,179,0
105_180.mp4,35,0,37,5,492,9,1
106_198.mp4,106,0,9,0,277,0,0
107_109.mp4,0,0,1,0,296,0,1
108_052.mp4,8,0,28,68,134,27,59
109_107.mp4,371,0,4,1,165,17,0
110_043.mp4,31,24,148,0,93,3,187
111_094.mp4,106,0,0,7,403,18,0
112_892.mp4,19,0,10,32,110,92,8
113_983.mp4,0,0,7,0,395,4,4
114_102.mp4,62,0,1,0,324,2,0
115_939.mp4,385,1,155,6,0,8,0
116_091.mp4,1,0,74,10,408,146,0
117_217.mp4,9,3,72,329,202,33,81
118_120.mp4,0,0,0,7,394,4,0
119_123.mp4,7,0,0,17,484,0,6
120_118.mp4,51,0,0,0,329,0,23
121_093.mp4,8,6,32,193,50,1,19
122_144.mp4,11,0,11,7,295,5,20
123_119.mp4,4,0,52,138,299,5,4
124_085.mp4,1,0,20,27,65,49,215
125_038.mp4,0,0,0,7,296,2,0
126_104.mp4,40,0,63,6,333,7,13
127_129.mp4,178,0,63,1,47,209,121
128_896.mp4,93,0,17,1,312,44,0
129_127.mp4,814,2,9,2,595,273,0
130_139.mp4,0,0,8,3,361,3,6
131_518.mp4,21,0,144,0,3,86,41
132_007.mp4,57,0,23,0,351,75,0
133_148.mp4,186,0,17,3,56,177,0
134_192.mp4,7,0,0,7,257,2,14
135_880.mp4,20,0,10,15,388,2,1
136_285.mp4,56,0,96,65,105,61,0
137_165.mp4,6,0,5,0,376,0,0
138_142.mp4,5,0,21,31,611,22,290
139_130.mp4,4,0,3,0,645,0,10
140_143.mp4,39,0,12,0,11,143,0
141_161.mp4,0,0,29,81,256,7,19
142_138.mp4,75,0,14,16,258,47,0
143_140.mp4,98,0,3,0,384,0,0
144_122.mp4,0,0,22,24,244,16,3
145_299.mp4,6,0,31,0,267,3,1
146_256.mp4,16,1,99,43,215,121,61
147_055.mp4,152,0,0,0,226,16,0
148_133.mp4,867,0,244,0,376,15,0
149_152.mp4,3,0,2,0,217,99,0
150_153.mp4,86,0,53,0,417,161,15
151_225.mp4,5,0,0,5,225,0,69
152_149.mp4,29,0,76,9,124,99,26
153_150.mp4,30,0,45,22,315,38,6
154_386.mp4,120,2,3,40,495,3,58
155_576.mp4,0,0,238,2,203,19,1
156_243.mp4,20,0,24,2,656,63,1
157_245.mp4,0,0,0,0,330,6,4
158_379.mp4,39,0,21,196,45,55,0
159_175.mp4,0,0,29,9,465,1,0
160_928.mp4,8,0,35,1,300,0,32
161_141.mp4,0,0,33,160,316,5,0
162_330.mp4,20,1,4,49,307,27,0
163_031.mp4,2,3,1,164,282,30,0
