Video_name,happy,angry,sad,surprise,disgust,fear,neutral
000_003.mp4,127,3,29,0,119,25,0
001_870.mp4,0,0,195,13,188,38,29
002_006.mp4,0,0,33,21,283,5,0
003_000.mp4,22,0,17,0,196,69,0
004_982.mp4,10,0,63,7,150,79,1
005_010.mp4,0,0,16,1,236,133,0
006_002.mp4,125,0,1,1,82,101,2
007_132.mp4,0,0,26,59,257,10,56
008_990.mp4,3,0,52,15,98,90,48
009_027.mp4,10,0,75,0,57,173,0
010_005.mp4,5,0,248,0,242,49,32
011_805.mp4,30,0,175,0,431,18,121
012_026.mp4,2,0,14,86,96,47,77
013_883.mp4,0,0,48,9,99,1,34
014_790.mp4,7,2,95,62,184,328,44
015_919.mp4,86,34,168,25,68,104,0
016_209.mp4,9,0,80,0,227,6,15
017_803.mp4,12,3,81,87,33,75,1
018_019.mp4,29,0,4,73,297,0,25
019_018.mp4,47,16,142,62,35,93,17
020_344.mp4,178,0,5,6,27,136,0
021_312.mp4,10,4,36,101,215,79,6
022_489.mp4,109,0,40,20,110,50,46
023_923.mp4,101,0,0,1,393,49,11
024_073.mp4,3,0,17,0,237,23,0
025_067.mp4,163,0,57,10,142,142,29
026_012.mp4,6,0,156,41,147,22,12
027_009.mp4,55,0,8,0,86,117,0
028_068.mp4,12,0,134,87,19,91,70
029_048.mp4,17,2,10,1,259,147,12
030_193.mp4,22,0,12,23,233,4,4
031_163.mp4,46,0,48,15,222,68,0
032_944.mp4,0,0,12,81,146,73,0
033_097.mp4,314,0,59,0,201,236,11
034_590.mp4,9,3,5,206,183,2,0
035_036.mp4,0,0,0,0,330,3,4
036_035.mp4,2,0,11,51,265,1,7
037_072.mp4,0,0,1,3,307,0,0
038_125.mp4,0,0,7,94,163,35,0
039_058.mp4,0,0,145,10,517,23,0
040_997.mp4,3,0,3,5,397,14,19
041_063.mp4,199,0,38,0,112,0,0
042_084.mp4,37,32,43,19,72,115,21
043_110.mp4,93,2,146,1,33,93,12
044_945.mp4,0,0,8,131,172,0,27
045_889.mp4,12,0,11,64,163,67,13
046_904.mp4,20,5,2,221,89,20,2
047_862.mp4,16,0,57,0,174,72,0
048_029.mp4,74,0,254,0,409,61,10
049_946.mp4,0,0,0,6,124,230,0
050_059.mp4,233,0,0,0,237,60,0
051_332.mp4,205,18,197,33,8,188,47
052_108.mp4,21,0,77,9,67,156,3
053_095.mp4,30,1,95,10,82,139,60
054_071.mp4,10,0,51,48,53,26,180
055_147.mp4,275,0,4,148,71,33,0
056_996.mp4,80,1,18,33,180,1,14
057_070.mp4,18,0,26,23,193,107,0
058_039.mp4,4,0,28,1,572,13,0
059_050.mp4,227,155,20,0,24,105,0
060_088.mp4,15,0,213,47,308,192,153
061_080.mp4,5,0,27,0,297,20,7
062_066.mp4,138,0,7,53,214,15,0
063_041.mp4,4,0,12,80,226,16,11
064_991.mp4,3,0,1,0,391,7,0
065_089.mp4,98,0,17,6,159,51,112
066_062.mp4,0,0,2,2,8,22,0
067_025.mp4,6,0,114,95,267,8,48
068_028.mp4,24,12,1,58,182,94,30
069_961.mp4,0,0,22,15,192,30,63
070_057.mp4,0,0,15,13,123,6,143
071_054.mp4,51,0,5,23,223,70,8
072_037.mp4,59,0,6,0,228,4,14
073_024.mp4,1,0,235,0,15,3,52
074_825.mp4,14,0,5,73,260,0,0
075_977.mp4,3,0,6,100,27,910,20
076_079.mp4,25,1,12,0,274,16,7
077_100.mp4,19,2,77,202,130,19,53
078_955.mp4,366,2,8,0,107,40,0
