Video_name,happy,angry,sad,surprise,disgust,fear,neutral
000_003.mp4,0,0,10,0,293,0,1
001_870.mp4,0,0,1,1,429,30,0
002_006.mp4,24,0,116,1,137,39,33
003_000.mp4,207,0,12,0,7,77,0
004_982.mp4,2,0,2,5,186,115,0
005_010.mp4,19,0,8,0,286,73,0
006_002.mp4,1,0,0,51,138,123,0
007_132.mp4,0,0,5,104,301,0,0
008_990.mp4,0,0,13,1,12,241,41
009_027.mp4,87,0,12,0,0,216,0
010_005.mp4,5,0,195,1,228,157,0
011_805.mp4,129,0,24,0,623,23,26
012_026.mp4,0,0,8,21,51,202,40
013_883.mp4,0,0,38,3,214,4,33
014_790.mp4,9,0,5,13,681,13,1
015_919.mp4,385,0,44,0,5,8,26
016_209.mp4,0,3,43,0,258,10,23
017_803.mp4,39,0,47,17,33,153,0
018_019.mp4,66,12,15,29,170,125,15
019_018.mp4,77,2,61,36,106,11,86
020_344.mp4,278,22,7,4,66,32,0
021_312.mp4,44,11,100,99,52,138,13
022_489.mp4,190,0,19,10,42,85,41
023_923.mp4,22,0,0,0,531,0,0
024_073.mp4,2,0,35,0,125,7,65
025_067.mp4,79,0,92,4,261,43,72
026_012.mp4,32,19,126,22,156,26,18
027_009.mp4,0,0,20,1,177,2,0
028_068.mp4,47,0,0,57,243,66,0
029_048.mp4,17,0,10,1,383,6,32
030_193.mp4,23,0,3,19,225,27,0
031_163.mp4,73,0,46,6,203,57,0
032_944.mp4,0,0,3,7,300,2,0
033_097.mp4,305,3,69,0,165,288,0
034_590.mp4,204,28,28,8,118,2,19
035_036.mp4,45,0,85,0,121,85,1
036_035.mp4,0,0,0,0,335,0,2
037_072.mp4,0,0,2,0,309,0,0
038_125.mp4,0,0,3,25,264,6,4
039_058.mp4,45,0,19,0,446,99,0
040_997.mp4,10,4,13,5,374,26,8
041_063.mp4,131,0,13,0,203,1,2
042_084.mp4,44,0,11,5,256,15,7
043_110.mp4,35,1,4,0,10,426,0
044_945.mp4,0,0,4,48,288,0,0
045_889.mp4,1,0,16,47,69,165,37
046_904.mp4,19,21,1,27,279,12,0
047_862.mp4,5,0,26,0,270,18,0
048_029.mp4,74,0,270,1,337,120,0
049_946.mp4,0,0,0,93,40,120,0
050_059.mp4,507,0,0,0,0,23,0
051_332.mp4,16,0,31,31,112,33,472
052_108.mp4,16,0,225,57,25,5,3
053_095.mp4,10,0,9,0,261,99,44
054_071.mp4,37,0,1,2,284,39,5
055_147.mp4,144,7,1,66,32,193,0
056_996.mp4,49,0,29,0,41,211,0
057_070.mp4,1,0,0,10,355,0,3
058_039.mp4,0,0,21,3,580,0,3
059_050.mp4,0,0,5,0,529,1,0
060_088.mp4,63,6,279,54,93,436,0
061_080.mp4,253,0,40,0,71,13,0
062_066.mp4,0,0,2,0,421,0,0
063_041.mp4,2,4,10,1,279,47,6
064_991.mp4,1,0,2,0,327,69,0
065_089.mp4,15,0,42,47,244,95,2
066_062.mp4,0,0,0,2,4,94,0
067_025.mp4,1,0,155,28,232,87,35
068_028.mp4,0,0,50,14,177,80,80
069_961.mp4,6,0,105,26,120,2,64
070_057.mp4,7,0,34,3,185,99,0
071_054.mp4,63,1,96,12,112,37,57
072_037.mp4,0,0,3,0,289,19,0
073_024.mp4,0,0,13,0,73,220,0
074_825.mp4,3,0,1,0,332,4,9
075_977.mp4,79,0,2,284,224,296,2
076_079.mp4,27,0,6,0,294,3,0
077_100.mp4,3,0,82,21,147,188,19
078_955.mp4,3,0,98,0,407,1,14
079_076.mp4,9,0,2,0,289,29,0
080_061.mp4,0,0,0,11,314,12,0
081_087.mp4,0,0,10,0,271,10,18
082_103.mp4,3,0,0,0,313,1,0
083_213.mp4,282,0,14,25,133,583,1
084_042.mp4,36,0,76,263,201,18,14
085_124.mp4,5,0,23,0,288,2,0
086_090.mp4,0,0,1,3,547,135,0
087_081.mp4,277,0,1,0,0,28,0
088_060.mp4,17,10,4,0,581,31,22
089_065.mp4,4,1,28,0,406,7,0
090_086.mp4,12,1,37,59,454,4,119
091_116.mp4,82,0,22,14,241,6,5
092_098.mp4,0,0,0,0,299,0,0
093_121.mp4,0,0,116,12,295,8,1
094_111.mp4,1,0,258,1,416,6,0
095_053.mp4,120,0,127,14,45,122,5
096_101.mp4,2,0,133,3,131,212,23
097_033.mp4,55,0,0,15,375,33,0
098_092.mp4,1,0,222,0,67,12,0
099_295.mp4,4,0,0,42,311,57,0
100_077.mp4,101,0,2,80,218,16,8
101_096.mp4,119,28,75,9,157,53,32
102_114.mp4,227,18,0,0,0,92,0
103_082.mp4,0,0,58,0,169,80,11
104_126.mp4,0,0,2,115,13,200,0
105_180.mp4,0,0,4,1,260,16,25
106_198.mp4,199,0,22,0,135,0,0
107_109.mp4,0,0,0,0,298,0,0
108_052.mp4,0,0,106,26,9,111,48
109_107.mp4,277,0,1,0,1,20,0
110_043.mp4,72,57,183,0,23,0,152
111_094.mp4,37,0,1,28,234,40,17
112_892.mp4,1,0,64,39,127,94,3
113_983.mp4,3,0,17,0,358,8,24
114_102.mp4,183,0,0,0,160,46,0
115_939.mp4,235,0,87,15,0,9,3
116_091.mp4,0,0,109,0,90,126,2
117_217.mp4,2,11,73,358,79,22,29
118_120.mp4,0,0,0,2,327,23,0
119_123.mp4,1,0,0,5,455,0,41
120_118.mp4,56,0,77,0,223,9,45
121_093.mp4,13,8,47,175,52,0,15
122_144.mp4,5,0,16,6,274,13,5
123_119.mp4,57,0,36,71,280,2,56
124_085.mp4,1,0,1,9,32,36,244
125_038.mp4,0,0,3,4,270,1,27
126_104.mp4,1,0,79,33,207,4,1
127_129.mp4,142,0,102,1,23,234,149
128_896.mp4,305,0,16,0,115,25,0
129_127.mp4,305,0,12,1,230,97,0
130_139.mp4,1,0,6,2,356,4,15
131_518.mp4,64,0,78,0,0,101,52
132_007.mp4,26,0,72,0,201,109,5
133_148.mp4,105,0,5,1,27,277,0
134_192.mp4,10,0,7,24,211,5,30
135_880.mp4,0,0,4,76,243,6,0
136_285.mp4,1,0,41,39,196,107,0
137_165.mp4,9,0,6,0,356,16,0
138_142.mp4,1,0,50,0,217,22,123
139_130.mp4,10,0,10,0,341,0,17
140_143.mp4,64,0,8,0,4,153,0
141_161.mp4,4,0,38,66,257,16,31
142_138.mp4,81,0,42,4,144,133,0
