Video_name,happy,angry,sad,surprise,disgust,fear,neutral
000_003.mp4,84,6,150,0,52,103,0
001_870.mp4,0,0,196,3,93,171,0
002_006.mp4,2,0,46,8,583,97,0
003_000.mp4,39,0,2,1,237,24,0
004_982.mp4,129,0,43,1,5,194,0
005_010.mp4,1,0,48,1,209,136,0
006_002.mp4,96,0,41,3,109,62,0
007_132.mp4,1,0,11,0,423,46,7
008_990.mp4,40,0,374,1,86,85,58
009_027.mp4,0,0,56,0,182,350,0
010_005.mp4,113,0,56,0,310,51,1
011_805.mp4,185,0,3,2,1251,1,2
012_026.mp4,2,0,72,2,148,73,66
013_883.mp4,0,0,32,40,209,9,0
014_790.mp4,52,0,2,116,404,141,1
015_919.mp4,63,0,152,127,36,103,6
016_209.mp4,45,0,152,0,480,1,0
017_803.mp4,1,2,12,81,183,0,0
018_019.mp4,15,0,215,0,107,39,56
019_018.mp4,0,0,33,918,385,49,0
020_344.mp4,13,0,198,3,3,175,0
021_312.mp4,0,0,13,29,406,1,0
022_489.mp4,115,0,59,6,26,138,28
023_923.mp4,315,0,1,0,219,19,0
024_073.mp4,0,2,148,0,50,52,0
025_067.mp4,205,0,184,18,230,181,0
026_012.mp4,0,0,0,71,224,27,0
027_009.mp4,41,0,45,0,59,26,0
028_068.mp4,9,0,11,9,71,341,7
029_048.mp4,11,2,6,0,393,21,0
030_193.mp4,0,0,2,107,126,0,64
031_163.mp4,52,0,2,212,205,110,1
032_944.mp4,1,0,0,2,27,284,0
033_097.mp4,700,0,33,360,380,306,1
034_590.mp4,2,0,2,52,330,22,0
035_036.mp4,0,0,0,62,360,1,0
036_035.mp4,0,0,8,0,280,49,0
037_072.mp4,0,0,0,0,454,0,0
038_125.mp4,0,0,8,0,304,1,0
039_058.mp4,0,0,96,0,221,133,0
040_997.mp4,8,0,6,6,533,4,2
041_063.mp4,8,0,40,95,204,2,0
042_084.mp4,1,1,1,93,219,21,2
043_110.mp4,21,0,118,0,0,287,0
044_945.mp4,0,0,9,1,235,6,93
045_889.mp4,0,0,1,108,41,202,0
046_904.mp4,82,272,0,7,95,48,0
047_862.mp4,0,0,118,0,197,4,0
048_029.mp4,31,0,241,0,370,291,5
049_946.mp4,0,0,0,0,278,45,0
050_059.mp4,98,0,169,0,73,190,0
051_332.mp4,122,232,2,22,3,334,2
052_108.mp4,3,0,105,0,6,213,0
053_095.mp4,17,0,65,6,208,96,25
054_071.mp4,71,0,31,0,55,125,86
055_147.mp4,356,0,0,0,0,39,0
056_996.mp4,66,0,2,99,199,9,0
057_070.mp4,68,0,76,59,46,182,0
058_039.mp4,53,0,289,0,315,14,0
059_050.mp4,564,0,5,41,62,50,0
060_088.mp4,87,5,264,50,311,269,31
061_080.mp4,2,0,9,1,312,17,5
062_066.mp4,70,0,7,38,53,266,0
063_041.mp4,45,0,120,0,611,108,46
064_991.mp4,189,0,8,0,20,186,0
065_089.mp4,386,0,0,0,33,23,0
066_062.mp4,0,0,1,0,2,45,0
067_025.mp4,0,0,141,0,310,75,12
068_028.mp4,2,0,7,162,129,49,54
069_961.mp4,18,0,12,554,172,15,2
070_057.mp4,0,0,29,1,245,67,2
071_054.mp4,31,0,1,84,341,8,2
072_037.mp4,75,0,0,0,236,0,0
073_024.mp4,0,0,420,0,258,0,25
074_825.mp4,0,0,1,3,341,1,0
075_977.mp4,0,0,2,68,27,605,8
076_079.mp4,9,0,2,0,285,57,0
077_100.mp4,82,0,69,28,344,132,0
078_955.mp4,13,0,0,0,493,17,0
079_076.mp4,4,0,44,0,374,2,0
080_061.mp4,212,0,3,0,172,95,1
081_087.mp4,564,0,26,17,413,58,0
082_103.mp4,0,0,0,0,306,7,3
083_213.mp4,873,3,175,4,121,322,3
084_042.mp4,44,0,8,176,298,98,1
085_124.mp4,0,0,0,0,81,247,1
086_090.mp4,0,0,0,0,879,0,38
087_081.mp4,0,0,79,0,185,15,6
088_060.mp4,112,1,12,0,8,533,2
089_065.mp4,5,0,14,0,722,15,0
090_086.mp4,20,8,5,100,398,156,0
091_116.mp4,149,0,77,5,590,120,8
092_098.mp4,0,0,60,0,397,3,0
093_121.mp4,0,2,108,104,39,6,79
094_111.mp4,0,0,189,1,557,3,0
095_053.mp4,88,0,97,0,45,795,0
096_101.mp4,62,0,13,2,213,211,3
097_033.mp4,11,1,0,0,406,62,0
098_092.mp4,0,0,24,0,268,43,0
099_295.mp4,8,3,31,92,382,160,1
100_077.mp4,83,0,50,0,28,261,1
101_096.mp4,1,0,17,107,783,129,6
102_114.mp4,87,18,8,0,68,208,0
103_082.mp4,25,1,13,0,516,40,0
104_126.mp4,61,0,22,82,261,28,26
105_180.mp4,1,0,16,2,229,50,10
106_198.mp4,22,0,5,0,283,46,0
107_109.mp4,22,5,234,0,63,232,0
