Video_name,happy,angry,sad,surprise,disgust,fear,neutral
000_003.mp4,0,0,3,0,299,0,0
001_870.mp4,7,0,54,5,544,26,0
002_006.mp4,59,0,48,0,219,14,2
003_000.mp4,199,0,26,0,12,159,0
004_982.mp4,12,0,11,10,776,87,0
005_010.mp4,1,0,12,0,359,110,0
006_002.mp4,3,0,0,99,532,60,0
007_132.mp4,0,0,2,90,319,1,0
008_990.mp4,0,0,6,0,95,204,4
009_027.mp4,100,0,31,0,0,184,0
010_005.mp4,4,0,46,1,365,16,0
011_805.mp4,395,0,13,0,506,75,9
012_026.mp4,2,0,2,5,117,172,24
013_883.mp4,0,0,147,0,218,23,6
014_790.mp4,8,0,3,2,688,17,0
015_919.mp4,425,23,307,0,23,47,0
016_209.mp4,0,0,6,0,326,3,2
017_803.mp4,62,0,87,5,23,120,0
018_019.mp4,157,4,207,51,204,750,12
019_018.mp4,5,0,158,2,70,180,3
020_344.mp4,128,16,107,8,297,85,0
021_312.mp4,3,0,10,19,29,398,0
022_489.mp4,266,0,130,7,87,224,58
023_923.mp4,21,0,0,0,581,0,0
024_073.mp4,41,0,302,0,183,2,113
025_067.mp4,26,0,183,1,336,21,28
026_012.mp4,38,46,35,4,203,22,15
027_009.mp4,0,0,75,0,311,0,0
028_068.mp4,61,0,5,24,40,287,0
029_048.mp4,5,0,6,5,476,5,5
030_193.mp4,14,0,11,10,288,54,0
031_163.mp4,150,0,3,3,210,54,0
032_944.mp4,0,0,0,5,325,14,0
033_097.mp4,299,0,23,8,305,169,0
034_590.mp4,224,10,53,44,246,4,20
035_036.mp4,57,0,112,2,11,155,0
036_035.mp4,0,0,0,0,422,0,1
037_072.mp4,0,0,0,0,311,0,0
038_125.mp4,4,0,1,210,278,6,0
039_058.mp4,6,0,15,0,601,47,0
040_997.mp4,49,101,43,30,154,41,21
041_063.mp4,116,0,306,2,506,0,0
042_084.mp4,108,4,2,0,250,4,7
043_110.mp4,141,0,34,5,15,355,0
044_945.mp4,0,0,3,5,753,0,4
045_889.mp4,1,0,3,28,162,103,36
046_904.mp4,2,14,0,69,263,11,0
047_862.mp4,44,0,70,0,177,179,0
048_029.mp4,26,0,294,2,375,107,0
049_946.mp4,0,0,1,92,73,146,1
050_059.mp4,721,0,0,0,0,0,0
051_332.mp4,9,1,11,88,258,11,317
052_108.mp4,3,0,258,12,19,17,0
053_095.mp4,41,0,13,0,533,398,21
054_071.mp4,0,0,2,0,422,30,0
055_147.mp4,98,0,68,21,252,230,0
056_996.mp4,213,0,4,1,19,80,0
057_070.mp4,28,0,0,22,316,1,0
058_039.mp4,0,0,7,0,605,0,0
059_050.mp4,0,0,2,0,529,0,0
060_088.mp4,23,0,177,40,20,584,0
061_080.mp4,34,0,29,0,378,74,0
062_066.mp4,0,0,1,47,387,1,0
063_041.mp4,21,0,10,0,268,50,0
064_991.mp4,33,0,3,0,265,101,0
065_089.mp4,33,0,12,83,602,13,9
066_062.mp4,0,0,0,16,8,88,0
067_025.mp4,15,0,292,0,329,99,12
068_028.mp4,5,0,34,7,240,38,110
069_961.mp4,1,0,32,0,263,1,27
070_057.mp4,2,0,60,0,364,35,2
071_054.mp4,16,0,170,46,126,25,2
072_037.mp4,0,0,6,0,447,1,0
073_024.mp4,0,0,15,0,174,117,0
074_825.mp4,4,0,0,0,524,2,17
075_977.mp4,75,0,221,332,231,283,1
076_079.mp4,32,1,53,0,379,6,0
077_100.mp4,4,0,130,7,88,173,34
078_955.mp4,3,0,3,0,525,0,0
079_076.mp4,110,0,0,1,218,0,0
080_061.mp4,61,0,9,11,239,17,0
081_087.mp4,0,0,4,0,305,0,0
082_103.mp4,0,0,0,0,595,1,0
083_213.mp4,586,0,14,2,169,231,0
084_042.mp4,43,0,21,128,202,187,1
085_124.mp4,9,0,0,0,300,9,0
086_090.mp4,0,0,16,0,312,358,1
087_081.mp4,1003,6,84,0,1,75,0
088_060.mp4,9,1,8,0,777,41,12
089_065.mp4,59,0,24,0,296,63,0
090_086.mp4,17,2,5,19,829,23,39
091_116.mp4,69,0,67,3,213,14,3
092_098.mp4,0,0,0,0,299,0,0
093_121.mp4,0,0,84,0,547,8,4
094_111.mp4,0,0,170,0,433,0,0
095_053.mp4,20,0,235,12,52,109,0
096_101.mp4,69,0,21,11,925,122,1
097_033.mp4,525,0,0,4,180,101,0
098_092.mp4,3,0,150,0,307,2,0
099_295.mp4,21,0,8,166,199,49,0
100_077.mp4,56,0,0,37,510,1,8
101_096.mp4,137,4,60,1,84,181,19
102_114.mp4,965,2,1,0,4,217,0
103_082.mp4,1,0,63,0,112,134,7
104_126.mp4,16,7,7,53,15,230,0
105_180.mp4,8,0,79,2,426,60,0
106_198.mp4,92,0,23,0,277,0,0
107_109.mp4,0,0,1,0,297,0,0
108_052.mp4,3,0,32,63,129,46,50
109_107.mp4,387,0,14,1,109,48,0
110_043.mp4,17,4,193,0,92,3,182
111_094.mp4,223,0,0,10,181,132,0
112_892.mp4,9,0,17,28,120,81,8
113_983.mp4,0,0,11,0,385,11,0
114_102.mp4,62,0,1,0,325,1,0
115_939.mp4,339,1,193,1,1,14,0
116_091.mp4,0,0,104,3,239,294,1
117_217.mp4,5,2,68,321,215,39,71
118_120.mp4,0,0,1,6,395,6,0
119_123.mp4,3,0,0,2,502,0,7
120_118.mp4,13,0,0,0,347,0,7
121_093.mp4,10,4,43,188,52,2,9
