Video_name,happy,angry,sad,surprise,disgust,fear,neutral
000.mp4,0,0,4,0,364,18,10
001.mp4,12,0,76,43,250,79,4
002.mp4,61,0,164,35,416,100,24
003.mp4,216,4,28,7,3,45,0
004.mp4,5,0,61,12,177,111,0
005.mp4,29,0,14,1,276,71,0
006.mp4,0,0,2,41,117,152,0
007.mp4,0,0,22,148,316,3,2
008.mp4,0,0,50,11,32,516,31
009.mp4,114,0,16,15,1,442,0
010.mp4,14,0,142,0,243,102,0
011.mp4,331,1,9,0,778,9,280
012.mp4,1,0,9,74,24,183,72
013.mp4,1,0,29,1,230,17,13
014.mp4,6,1,7,97,567,21,0
015.mp4,338,8,110,7,10,10,31
016.mp4,0,0,79,0,528,23,48
017.mp4,44,7,76,62,14,160,1
018.mp4,14,2,10,334,6,61,5
019.mp4,234,15,314,14,244,329,144
020.mp4,250,94,5,4,19,19,0
021.mp4,12,15,76,90,77,191,4
022.mp4,157,0,46,17,43,53,46
023.mp4,22,0,14,0,519,2,0
024.mp4,4,0,104,0,67,0,85
025.mp4,171,0,266,71,171,45,79
026.mp4,33,9,45,54,166,14,1
027.mp4,0,0,41,0,163,5,0
028.mp4,91,1,16,163,99,55,19
029.mp4,4,0,1,0,376,25,19
030.mp4,22,0,1,29,218,24,1
031.mp4,221,0,2,0,276,74,0
032.mp4,0,0,5,130,174,4,0
033.mp4,644,3,130,0,515,402,0
034.mp4,46,3,23,195,138,1,1
035.mp4,9,0,287,0,13,111,3
036.mp4,1,0,0,63,269,0,4
037.mp4,0,0,6,0,448,0,0
038.mp4,2,0,11,65,214,9,10
039.mp4,54,0,54,0,385,122,0
040.mp4,48,42,43,24,267,107,22
041.mp4,143,0,41,0,163,1,1
042.mp4,67,1,24,0,203,18,26
043.mp4,44,0,7,0,8,428,0
044.mp4,0,0,2,111,216,0,7
045.mp4,0,0,3,16,66,228,40
046.mp4,19,13,18,261,188,2,3
047.mp4,3,0,26,0,256,34,0
048.mp4,67,1,352,0,332,146,2
049.mp4,0,0,0,55,22,171,0
050.mp4,507,0,0,0,0,23,0
051.mp4,11,3,17,100,533,15,38
052.mp4,0,0,249,19,45,17,7
053.mp4,28,0,10,0,179,190,10
054.mp4,20,0,9,58,197,44,40
055.mp4,133,1,8,9,53,190,0
056.mp4,78,0,42,2,55,196,3
057.mp4,3,0,0,0,415,2,11
058.mp4,1,0,33,30,593,7,2
059.mp4,14,3,38,3,651,13,0
060.mp4,138,6,333,72,47,458,2
061.mp4,217,0,6,0,114,4,0
062.mp4,0,0,19,16,396,0,0
063.mp4,7,3,53,167,612,84,4
064.mp4,0,0,1,0,329,71,0
065.mp4,39,1,66,49,132,142,15
066.mp4,0,0,0,12,0,51,0
067.mp4,12,0,178,64,221,47,15
068.mp4,1,0,30,5,189,145,31
069.mp4,20,0,179,42,368,33,134
070.mp4,1,0,90,27,174,72,2
071.mp4,35,0,192,10,125,55,49
072.mp4,1,0,4,0,277,28,1
073.mp4,0,0,158,3,249,293,0
074.mp4,0,0,2,0,340,1,3
