Video_name,happy,angry,sad,surprise,disgust,fear,neutral,emotion_change
id0_id16_0000.mp4,173,0,11,0,59,220,6,102
id0_id16_0001.mp4,35,0,24,6,169,64,5,30
id0_id16_0002.mp4,21,0,56,1,41,231,0,53
id0_id16_0003.mp4,149,0,122,0,79,135,1,109
id0_id16_0004.mp4,14,0,3,0,259,15,0,29
id0_id16_0005.mp4,72,0,65,8,86,209,0,87
id0_id16_0006.mp4,0,0,89,96,363,0,0,45
id0_id16_0007.mp4,20,0,8,0,353,105,0,103
id0_id16_0008.mp4,18,0,6,1,342,86,0,49
id0_id16_0009.mp4,99,0,14,0,164,243,0,88
id0_id17_0000.mp4,124,1,9,0,57,278,0,71
id0_id17_0001.mp4,34,0,16,5,188,59,0,40
id0_id17_0002.mp4,30,0,9,0,36,275,0,59
id0_id17_0003.mp4,126,0,82,0,95,196,0,103
id0_id17_0005.mp4,98,0,44,12,138,141,0,74
id0_id17_0006.mp4,0,0,85,88,375,0,0,51
id0_id17_0007.mp4,111,0,13,10,292,74,0,143
id0_id17_0009.mp4,107,0,10,0,246,157,0,85
id0_id1_0000.mp4,117,0,10,0,40,302,0,78
id0_id1_0001.mp4,22,0,15,6,188,70,0,36
id0_id1_0002.mp4,62,0,17,1,124,146,0,117
id0_id1_0003.mp4,126,0,136,0,42,188,0,117
id0_id1_0005.mp4,63,0,62,20,147,152,0,92
id0_id1_0006.mp4,0,0,75,83,390,0,0,51
id0_id1_0007.mp4,48,0,10,0,286,147,0,141
id0_id1_0009.mp4,126,0,8,1,157,228,0,102
id0_id20_0000.mp4,58,0,34,0,8,366,3,76
id0_id20_0001.mp4,85,0,33,2,112,67,0,74
id0_id20_0002.mp4,55,0,11,1,7,276,0,52
id0_id20_0003.mp4,155,0,110,0,42,188,0,98
id0_id20_0004.mp4,44,0,4,0,185,45,0,56
id0_id20_0005.mp4,125,0,56,10,21,223,0,73
id0_id20_0006.mp4,8,0,96,48,391,11,0,114
id0_id20_0007.mp4,102,0,10,1,238,157,0,172
id0_id20_0009.mp4,165,0,27,3,83,242,0,93
id0_id21_0000.mp4,83,0,52,0,6,325,3,53
