Video_name,happy,angry,sad,surprise,disgust,fear,neutral,emotion_change
id0_0000.mp4,177,0,64,0,52,171,5,108
id0_0001.mp4,73,0,33,0,175,16,4,48
id0_0002.mp4,49,0,5,0,6,290,0,28
id0_0003.mp4,262,0,53,0,47,116,6,98
id0_0004.mp4,24,0,8,0,232,29,0,53
id0_0005.mp4,198,0,139,0,10,86,0,117
id0_0006.mp4,8,0,72,80,382,0,0,59
id0_0007.mp4,205,7,5,5,118,158,0,183
id0_0008.mp4,78,0,16,4,295,62,0,84
id0_0009.mp4,162,0,32,0,79,245,0,85
id10_0000.mp4,9,0,51,16,34,27,20,66
id10_0001.mp4,0,0,0,0,22,68,0,19
id10_0002.mp4,0,0,23,0,269,25,7,65
id10_0003.mp4,0,0,5,246,51,39,0,44
id10_0004.mp4,97,0,112,16,151,56,95,145
id10_0005.mp4,6,0,9,142,119,19,42,74
id10_0006.mp4,0,0,0,95,24,0,12,12
id10_0007.mp4,0,0,0,194,312,0,8,23
id10_0008.mp4,0,0,4,86,259,15,16,62
id10_0009.mp4,30,0,48,297,79,87,25,170
id11_0000.mp4,0,0,15,100,149,81,3,71
id11_0001.mp4,58,0,94,38,205,45,2,123
id11_0002.mp4,1,0,4,100,63,161,29,63
id11_0003.mp4,9,0,57,20,221,6,9,82
id11_0004.mp4,1,0,15,126,112,65,17,70
id11_0005.mp4,0,0,8,151,55,113,1,69
id11_0006.mp4,1,0,2,106,193,4,10,36
id11_0007.mp4,0,0,41,119,75,89,0,82
id11_0008.mp4,0,0,34,147,145,37,14,85
id11_0009.mp4,35,0,16,1,256,89,0,72
id11_0010.mp4,0,0,7,166,45,30,35,42
id12_0000.mp4,0,0,1,0,372,2,1,8
id12_0001.mp4,129,0,0,28,61,178,2,114
id12_0002.mp4,0,0,32,40,93,181,14,107
id12_0003.mp4,0,0,17,108,17,240,0,56
id12_0004.mp4,3,0,38,124,65,100,1,62
id12_0005.mp4,3,0,16,260,16,14,5,44
id12_0006.mp4,2,0,43,84,103,70,6,83
id13_0000.mp4,1,0,301,115,210,4,0,506
id13_0001.mp4,2,0,300,49,298,9,0,508
id13_0002.mp4,0,0,20,10,103,254,13,97
id13_0003.mp4,14,0,0,31,295,0,0,18
id13_0004.mp4,14,1,3,234,53,31,0,33
id13_0005.mp4,9,0,0,168,100,32,0,42
id13_0006.mp4,12,0,11,96,25,153,25,65
id13_0007.mp4,0,0,4,371,60,17,0,61
id13_0008.mp4,0,0,20,100,268,72,0,84
id13_0009.mp4,56,0,77,35,7,255,6,92
id13_0010.mp4,127,0,8,5,335,204,0,606
id13_0011.mp4,25,3,2,302,40,84,0,59
id13_0012.mp4,0,0,0,117,365,28,0,11
id13_0013.mp4,14,0,5,149,109,184,1,109
id13_0014.mp4,4,4,79,107,161,14,22,78
id13_0015.mp4,0,0,5,111,252,125,0,104
id16_0000.mp4,79,3,8,7,115,107,13,97
id16_0001.mp4,17,0,12,18,118,143,12,68
id16_0002.mp4,15,0,3,58,180,115,24,141
id16_0003.mp4,6,3,0,0,240,54,0,30
id16_0004.mp4,14,3,13,73,176,35,13,96
id16_0005.mp4,16,0,2,0,205,142,0,73
id16_0006.mp4,0,0,14,51,156,3,0,24
id16_0007.mp4,10,10,0,34,16,209,0,49
id16_0008.mp4,0,0,0,15,52,0,0,7
id16_0009.mp4,0,1,0,0,293,21,0,19
id16_0010.mp4,14,1,9,21,151,116,0,50
id16_0011.mp4,1,0,22,24,139,79,11,77
id16_0012.mp4,14,0,0,0,223,71,0,28
id16_0013.mp4,71,17,54,4,13,158,0,71
id17_0000.mp4,100,0,10,4,178,7,14,89
id17_0001.mp4,4,0,0,272,11,38,0,29
id17_0002.mp4,34,0,22,48,136,83,0,93
id17_0003.mp4,0,0,0,34,213,0,0,13
id17_0004.mp4,172,0,24,6,31,58,15,55
id17_0005.mp4,4,0,0,3,260,40,0,22
id17_0006.mp4,45,0,0,0,136,1,0,28
id17_0007.mp4,116,0,0,49,34,76,0,34
id17_0008.mp4,26,0,2,41,18,61,0,42
id17_0009.mp4,76,0,4,0,11,205,11,43
id19_0000.mp4,19,0,0,190,91,27,0,29
id19_0001.mp4,253,4,8,0,59,10,0,50
id19_0002.mp4,12,0,133,0,113,46,0,73
id19_0003.mp4,29,0,0,66,242,1,0,28
id19_0004.mp4,0,0,0,0,263,60,0,35
id19_0005.mp4,2,0,6,0,314,0,0,10
id19_0006.mp4,1,0,2,12,321,4,0,16
id19_0007.mp4,68,0,0,0,204,56,0,28
id19_0008.mp4,60,0,30,0,154,80,0,68
id19_0009.mp4,11,0,2,0,296,32,0,29
id1_0000.mp4,99,0,0,239,9,7,0,53
id1_0001.mp4,65,0,54,0,109,37,7,77
id1_0002.mp4,15,0,117,0,215,53,0,61
id1_0003.mp4,33,0,11,28,194,183,0,121
id1_0004.mp4,17,0,120,27,116,129,0,100
id1_0005.mp4,141,0,65,0,13,203,0,90
id1_0006.mp4,380,0,7,8,54,50,0,101
id1_0007.mp4,3,0,0,0,267,61,0,21
id1_0008.mp4,0,0,4,7,39,2,0,7
id1_0009.mp4,120,0,1,5,99,182,0,145
id20_0000.mp4,155,0,13,84,75,10,0,80
id20_0001.mp4,11,0,205,6,58,28,0,87
id20_0002.mp4,74,0,57,28,52,77,23,111
id20_0003.mp4,0,0,0,0,4,324,0,8
id20_0004.mp4,142,0,2,5,13,163,0,48
id20_0005.mp4,14,8,20,1,138,143,0,84
id20_0006.mp4,8,0,24,74,18,207,0,47
id20_0007.mp4,155,1,90,12,23,51,1,95
id20_0008.mp4,58,5,37,0,67,188,0,102
id20_0009.mp4,256,0,0,25,18,8,26,48
id21_0000.mp4,23,0,5,36,154,16,0,39
id21_0001.mp4,221,0,3,5,8,9,0,23
id21_0002.mp4,1,0,1,15,117,203,0,41
id21_0003.mp4,29,0,16,11,3,76,0,58
id21_0004.mp4,68,0,0,0,16,141,0,43
id21_0005.mp4,101,0,0,0,0,61,0,45
id21_0006.mp4,125,0,10,39,184,1,0,56
id21_0007.mp4,140,0,0,15,133,29,0,23
id21_0008.mp4,16,0,0,88,85,127,0,92
id21_0009.mp4,55,0,0,102,1,43,0,34
id22_0000.mp4,11,0,19,4,66,30,1,38
id22_0001.mp4,0,0,0,0,308,2,0,4
id22_0002.mp4,26,0,3,4,241,12,0,28
id22_0003.mp4,43,2,5,0,19,76,0,29
id22_0004.mp4,7,0,0,0,304,1,0,6
id22_0005.mp4,0,0,0,1,34,331,0,30
id22_0006.mp4,3,0,3,6,331,2,0,20
id22_0007.mp4,186,0,1,5,32,79,30,90
id22_0008.mp4,18,2,43,0,157,98,1,100
id22_0009.mp4,22,0,33,27,109,22,0,49
id23_0000.mp4,13,0,82,9,99,115,0,58
id23_0001.mp4,2,0,128,16,1,153,11,56
id23_0002.mp4,23,0,102,120,26,48,7,77
id23_0003.mp4,55,0,0,0,20,111,0,31
id23_0004.mp4,72,2,20,57,55,82,6,76
id23_0005.mp4,114,0,8,88,57,41,0,29
id23_0006.mp4,5,0,23,89,23,169,5,36
id23_0007.mp4,106,61,44,14,14,60,13,86
id23_0008.mp4,0,0,82,71,4,150,0,47
id23_0009.mp4,140,3,18,10,47,95,2,84
id24_0000.mp4,164,0,28,11,85,32,28,154
id24_0001.mp4,11,0,33,145,109,1,1,77
id24_0002.mp4,13,0,0,16,153,19,0,18
id24_0003.mp4,49,25,104,41,5,57,0,71
id24_0004.mp4,22,0,46,89,143,4,17,70
id24_0005.mp4,139,0,8,56,38,96,0,52
id24_0006.mp4,40,0,59,60,71,113,0,82
id24_0007.mp4,19,0,187,2,42,12,49,74
id24_0008.mp4,47,0,85,69,89,1,15,86
id24_0009.mp4,14,0,5,120,129,43,0,35
id25_0000.mp4,6,0,16,53,42,199,0,151
id25_0001.mp4,6,0,56,7,95,25,0,90
id25_0002.mp4,0,0,9,54,240,32,4,55
id25_0003.mp4,30,0,2,64,49,104,0,63
id25_0004.mp4,0,0,34,0,227,64,0,44
id25_0005.mp4,49,0,0,215,22,0,23,32
id25_0006.mp4,0,0,0,0,296,19,0,10
id25_0007.mp4,9,0,4,33,142,116,6,40
id25_0008.mp4,21,0,12,2,49,211,0,31
id25_0009.mp4,3,0,4,14,241,39,0,19
id25_0010.mp4,0,0,20,0,301,22,0,30
id26_0000.mp4,0,0,2,0,178,147,0,61
id26_0001.mp4,3,1,46,27,19,220,13,79
id26_0002.mp4,7,0,0,0,60,216,14,44
id26_0003.mp4,0,0,28,49,130,41,0,45
id26_0004.mp4,0,0,7,49,245,48,0,45
id26_0005.mp4,0,0,0,160,148,3,0,10
id26_0006.mp4,0,0,7,124,38,126,2,35
id26_0007.mp4,1,0,13,79,215,27,5,60
id26_0008.mp4,29,0,4,52,29,208,0,81
id26_0009.mp4,2,0,0,209,30,82,0,38
id27_0000.mp4,14,0,135,0,40,33,0,58
id27_0001.mp4,51,0,26,4,194,13,0,51
id27_0002.mp4,74,0,43,0,67,157,0,70
id27_0003.mp4,20,0,20,1,3,232,3,52
id27_0004.mp4,0,0,55,0,115,125,0,54
id27_0005.mp4,0,0,0,0,0,0,0,0
id27_0006.mp4,21,0,46,109,44,52,4,54
id27_0007.mp4,78,2,26,0,212,13,0,60
id27_0008.mp4,15,7,11,0,289,4,0,32
id27_0009.mp4,0,0,0,0,10,301,0,12
id28_0000.mp4,88,0,5,1,23,539,9,218
id28_0001.mp4,162,0,5,3,16,3,3,28
id28_0002.mp4,0,0,0,0,0,55,0,0
id28_0003.mp4,98,0,12,1,87,126,8,98
id28_0004.mp4,4,0,30,4,229,0,43,52
id28_0005.mp4,186,7,7,5,2,109,3,79
id28_0006.mp4,178,0,256,31,68,355,5,805
id28_0007.mp4,121,0,3,6,2,42,0,31
id28_0008.mp4,69,0,69,0,7,201,0,64
id28_0009.mp4,3,0,6,7,162,112,0,58
id29_0000.mp4,95,0,1,2,78,192,5,103
id29_0001.mp4,40,1,74,99,0,4,0,33
id29_0002.mp4,40,31,94,12,16,40,0,107
id29_0003.mp4,36,0,51,179,29,48,0,89
id29_0004.mp4,172,0,7,5,67,32,5,88
id29_0005.mp4,195,0,21,1,97,234,0,209
id29_0006.mp4,59,8,3,6,160,197,5,111
id29_0007.mp4,100,0,2,3,44,47,5,76
id29_0008.mp4,34,0,58,57,145,217,27,285
id29_0009.mp4,56,9,3,50,81,304,0,107
id2_0000.mp4,0,0,2,98,316,0,0,63
id2_0001.mp4,1,0,145,25,205,0,6,83
id2_0002.mp4,18,0,0,2,254,87,0,67
id2_0003.mp4,86,0,1,9,87,160,0,89
id2_0004.mp4,2,0,0,203,188,32,0,63
id2_0005.mp4,0,0,0,151,65,68,0,48
id2_0006.mp4,18,0,105,1,178,41,8,100
id2_0007.mp4,153,0,99,1,121,49,7,129
id2_0008.mp4,42,0,20,9,280,98,52,146
id2_0009.mp4,0,0,5,57,160,90,1,80
id30_0000.mp4,113,10,135,86,40,100,9,168
id30_0001.mp4,94,0,14,7,4,346,2,118
id30_0002.mp4,112,12,6,0,24,311,0,82
id30_0003.mp4,151,0,139,51,26,102,5,159
id30_0004.mp4,240,0,15,13,11,40,0,58
id30_0005.mp4,0,0,38,2,6,402,0,44
id30_0006.mp4,115,1,34,23,25,118,0,53
id30_0007.mp4,72,9,7,15,130,223,0,91
id30_0008.mp4,70,1,2,245,30,148,1,98
id30_0009.mp4,22,0,70,21,175,195,0,126
id31_0000.mp4,241,27,20,0,6,121,0,83
id31_0001.mp4,44,1,28,0,28,257,11,78
id31_0002.mp4,13,0,22,35,39,257,0,92
id31_0003.mp4,35,0,31,3,10,353,0,80
id31_0004.mp4,63,10,2,8,9,374,0,61
id31_0005.mp4,77,0,44,0,52,213,0,138
id31_0006.mp4,85,1,0,0,4,268,0,36
id31_0007.mp4,113,0,0,3,21,54,0,66
id31_0008.mp4,124,0,32,60,131,166,1,186
id31_0009.mp4,16,0,117,0,0,301,0,70
id32_0000.mp4,128,0,59,75,36,290,23,281
id32_0001.mp4,67,0,76,0,1,472,0,161
id32_0002.mp4,217,0,81,15,15,164,2,146
id32_0003.mp4,35,0,96,71,10,247,1,152
id32_0004.mp4,52,0,17,0,0,359,0,52
id32_0005.mp4,121,0,130,0,18,145,0,94
id32_0006.mp4,7,0,120,5,39,229,0,132
id32_0007.mp4,9,0,125,8,33,144,0,93
id32_0008.mp4,66,0,525,4,72,80,7,344
id32_0009.mp4,24,0,71,209,146,4,7,138
id33_0000.mp4,25,0,179,2,9,86,28,113
id33_0001.mp4,159,0,12,46,101,57,29,139
id33_0002.mp4,188,0,96,38,43,38,0,114
id33_0003.mp4,207,3,71,15,101,61,9,145
id33_0004.mp4,4,0,80,16,27,228,6,75
id33_0005.mp4,117,0,22,50,120,39,17,104
id33_0006.mp4,133,0,48,2,65,32,2,116
id33_0007.mp4,1,0,26,79,160,168,0,125
id33_0008.mp4,112,4,55,110,212,4,1,103
id33_0009.mp4,37,0,2,157,152,80,0,103
id34_0000.mp4,105,0,124,137,67,38,1,143
id34_0001.mp4,59,0,10,129,16,67,1,66
id34_0002.mp4,129,1,20,109,15,47,1,53
id34_0003.mp4,12,0,81,94,121,16,0,75
id34_0004.mp4,133,3,32,100,15,68,0,94
id34_0005.mp4,296,3,16,76,44,59,0,130
id34_0006.mp4,114,0,62,85,26,74,7,102
id34_0007.mp4,85,0,21,2,19,58,0,56
id34_0008.mp4,100,0,334,12,45,25,0,105
id34_0009.mp4,108,0,10,73,147,113,1,162
id35_0000.mp4,13,3,188,14,25,251,5,138
id35_0001.mp4,18,0,31,1,91,278,0,110
id35_0002.mp4,57,0,5,6,45,278,0,47
id35_0003.mp4,81,4,35,0,274,57,4,112
id35_0004.mp4,30,0,14,43,110,54,0,60
id35_0005.mp4,122,0,1,52,19,105,0,48
id35_0006.mp4,60,1,67,0,64,34,2,65
id35_0007.mp4,77,0,15,0,24,248,0,54
id35_0008.mp4,21,0,3,54,0,196,0,103
id35_0009.mp4,62,0,1,8,6,155,0,72
id36_0000.mp4,60,0,16,0,81,26,14,86
id36_0001.mp4,68,10,28,0,45,4,0,47
id36_0002.mp4,92,0,20,7,115,42,3,98
id36_0003.mp4,239,0,0,0,158,39,3,142
id36_0004.mp4,116,0,15,0,145,95,2,142
id36_0005.mp4,169,0,0,7,78,103,1,89
id36_0006.mp4,199,0,2,0,204,31,8,122
id36_0007.mp4,254,0,0,1,155,25,3,113
id36_0008.mp4,194,0,0,0,233,6,0,91
id36_0009.mp4,66,0,0,6,181,6,0,56
id37_0000.mp4,104,76,0,13,0,310,0,71
id37_0001.mp4,145,2,8,21,6,95,10,98
id37_0002.mp4,25,174,84,0,55,160,13,216
id37_0003.mp4,92,2,9,82,27,191,4,158
id37_0004.mp4,3,19,10,4,233,99,0,63
id37_0005.mp4,83,71,1,39,14,251,0,107
id37_0006.mp4,28,0,51,0,207,165,3,140
id37_0007.mp4,3,0,159,45,227,39,0,104
id37_0008.mp4,74,5,4,105,44,248,0,115
id37_0009.mp4,3,0,43,299,40,93,0,108
id38_0000.mp4,151,0,1,18,33,253,0,131
id38_0001.mp4,0,0,20,62,177,2,0,30
id38_0002.mp4,13,0,3,105,94,58,1,67
id38_0003.mp4,174,0,31,126,5,131,0,69
id38_0004.mp4,226,0,5,0,60,201,2,168
id38_0005.mp4,5,0,0,0,66,388,0,51
id38_0006.mp4,13,0,10,1,40,419,0,74
id38_0007.mp4,58,0,3,0,175,215,1,90
id38_0008.mp4,297,1,13,269,7,51,1,211
id38_0009.mp4,43,6,73,106,80,219,0,104
id39_0000.mp4,3,0,43,0,31,220,23,43
id39_0001.mp4,0,0,25,0,111,168,11,49
id39_0002.mp4,0,0,1,200,94,19,0,39
id39_0003.mp4,2,0,110,49,107,31,0,80
id39_0004.mp4,0,0,21,3,241,8,1,28
id39_0005.mp4,16,0,13,13,15,109,38,65
id39_0006.mp4,4,0,129,3,84,82,18,88
id39_0007.mp4,7,0,156,14,49,84,6,108
id39_0008.mp4,0,0,172,2,63,10,60,81
id39_0009.mp4,2,0,197,0,10,104,0,66
id3_0000.mp4,250,15,68,1,45,84,1,119
id3_0001.mp4,3,0,4,2,290,44,25,51
id3_0002.mp4,88,0,2,14,94,232,4,111
id3_0003.mp4,60,0,0,78,220,14,0,82
id3_0004.mp4,99,0,1,7,56,336,0,51
id3_0005.mp4,30,4,51,7,274,31,0,52
id3_0006.mp4,43,0,4,8,292,23,0,52
id3_0007.mp4,62,3,87,78,63,77,26,177
id3_0008.mp4,66,0,7,9,66,299,0,110
id3_0009.mp4,107,14,0,12,57,307,0,89
id40_0000.mp4,9,0,7,161,38,104,0,39
id40_0001.mp4,6,0,2,251,49,3,11,37
id40_0002.mp4,14,6,27,51,212,23,6,71
id40_0003.mp4,2,0,1,205,103,9,0,25
id40_0004.mp4,2,0,54,19,98,104,67,110
id40_0005.mp4,2,0,0,123,171,12,15,53
id40_0006.mp4,24,0,50,17,100,18,48,82
id40_0007.mp4,0,0,0,157,26,129,0,23
id40_0008.mp4,16,0,14,42,157,13,20,50
id40_0009.mp4,0,0,8,72,201,31,1,54
id41_0000.mp4,15,0,1,95,112,76,3,57
id41_0001.mp4,77,1,1,42,154,43,7,89
id41_0002.mp4,6,0,5,83,201,21,20,75
id41_0003.mp4,0,0,5,43,196,85,3,44
id41_0004.mp4,6,0,2,115,145,35,0,66
id41_0005.mp4,13,0,41,58,101,48,0,90
id41_0006.mp4,17,0,28,0,95,164,17,68
