Video_name,happy,angry,sad,surprise,disgust,fear,neutral,emotion_change
test_00000000.mp4,112,36,20,225,59,40,7,387
test_00000001.mp4,23,0,1,2,415,9,7,42
test_00000002.mp4,159,0,0,0,1,5,0,5
test_00000003.mp4,4,0,20,1,3,0,0,10
test_00000004.mp4,0,7,2,276,16,14,0,78
test_00000005.mp4,20,0,19,100,37,47,0,137
test_00000006.mp4,18,1,7,81,120,186,0,251
test_00000007.mp4,0,0,2,1,1,3,0,5
test_00000008.mp4,0,0,0,0,0,8,0,0
test_00000009.mp4,57,1,6,3,26,121,0,42
test_00000010.mp4,47,0,0,0,0,103,0,20
test_00000011.mp4,1,0,3,36,141,122,12,153
test_00000012.mp4,7,0,0,235,61,218,0,115
test_00000013.mp4,143,0,11,1,51,141,5,108
test_00000014.mp4,0,0,60,0,133,12,0,39
test_00000015.mp4,17,0,1,14,4,37,0,14
test_00000016.mp4,2,0,5,10,0,6,1,12
test_00000017.mp4,20,0,22,110,271,23,0,185
test_00000018.mp4,172,1,0,0,5,2,3,18
test_00000019.mp4,2,0,1,0,1,155,0,7
test_00000020.mp4,0,0,9,4,42,37,9,47
test_00000021.mp4,77,0,58,93,191,152,0,315
test_00000022.mp4,32,0,0,201,149,0,16,78
test_00000023.mp4,20,0,1,0,15,8,0,22
test_00000024.mp4,229,82,65,98,22,118,1,492
test_00000025.mp4,120,0,0,0,0,37,0,20
test_00000026.mp4,17,0,5,7,152,37,0,37
test_00000027.mp4,0,0,2,0,0,3,0,1
test_00000028.mp4,103,0,41,0,0,16,0,43
test_00000029.mp4,77,0,2,0,0,191,0,36
test_00000030.mp4,2,0,13,29,22,5,0,18
test_00000031.mp4,100,0,0,0,6,243,0,44
test_00000032.mp4,2,0,4,487,6,18,0,37
test_00000033.mp4,8,0,38,20,74,105,0,132
test_00000034.mp4,0,0,0,13,5,237,3,19
test_00000035.mp4,99,3,14,0,21,180,0,66
test_00000036.mp4,0,0,2,91,5,11,0,15
test_00000037.mp4,0,0,5,5,0,4,0,4
test_00000038.mp4,0,0,0,15,0,0,0,0
test_00000039.mp4,23,0,11,5,4,15,0,30
test_00000040.mp4,324,0,85,1,61,9,13,105
test_00000041.mp4,0,1,0,24,0,2,0,3
test_00000042.mp4,10,0,74,30,11,131,0,43
test_00000043.mp4,0,0,0,0,0,62,0,0
test_00000044.mp4,1,0,3,160,59,2,27,32
