Video_name,happy,angry,sad,surprise,disgust,fear,neutral,emotion_change
000_003.mp4,127,3,29,0,119,25,0,100
001_870.mp4,0,0,195,13,188,38,29,137
002_006.mp4,0,0,33,21,283,5,0,94
003_000.mp4,22,0,17,0,196,69,0,88
004_982.mp4,10,0,63,7,150,79,1,76
005_010.mp4,0,0,16,1,236,133,0,116
006_002.mp4,125,0,1,1,82,101,2,85
007_132.mp4,0,0,26,59,257,10,56,114
008_990.mp4,3,0,52,15,98,90,48,102
009_027.mp4,10,0,75,0,57,173,0,79
010_005.mp4,5,0,248,0,242,49,32,343
011_805.mp4,30,0,175,0,431,18,121,584
012_026.mp4,2,0,14,86,96,47,77,136
013_883.mp4,0,0,48,9,99,1,34,74
014_790.mp4,7,2,95,62,184,328,44,276
015_919.mp4,86,34,168,25,68,104,0,207
016_209.mp4,9,0,80,0,227,6,15,92
017_803.mp4,12,3,81,87,33,75,1,140
018_019.mp4,29,0,4,73,297,0,25,79
019_018.mp4,47,16,142,62,35,93,17,163
020_344.mp4,178,0,5,6,27,136,0,142
021_312.mp4,10,4,36,101,215,79,6,155
022_489.mp4,109,0,40,20,110,50,46,182
023_923.mp4,101,0,0,1,393,49,11,124
024_073.mp4,3,0,17,0,237,23,0,58
025_067.mp4,163,0,57,10,142,142,29,196
026_012.mp4,6,0,156,41,147,22,12,186
027_009.mp4,55,0,8,0,86,117,0,55
028_068.mp4,12,0,134,87,19,91,70,164
029_048.mp4,17,2,10,1,259,147,12,142
030_193.mp4,22,0,12,23,233,4,4,57
031_163.mp4,46,0,48,15,222,68,0,198
032_944.mp4,0,0,12,81,146,73,0,74
033_097.mp4,314,0,59,0,201,236,11,610
034_590.mp4,9,3,5,206,183,2,0,60
035_036.mp4,0,0,0,0,330,3,4,8
036_035.mp4,2,0,11,51,265,1,7,47
037_072.mp4,0,0,1,3,307,0,0,6
038_125.mp4,0,0,7,94,163,35,0,59
039_058.mp4,0,0,145,10,517,23,0,138
040_997.mp4,3,0,3,5,397,14,19,39
041_063.mp4,199,0,38,0,112,0,0,100
042_084.mp4,37,32,43,19,72,115,21,117
043_110.mp4,93,2,146,1,33,93,12,129
044_945.mp4,0,0,8,131,172,0,27,70
045_889.mp4,12,0,11,64,163,67,13,125
046_904.mp4,20,5,2,221,89,20,2,88
047_862.mp4,16,0,57,0,174,72,0,107
048_029.mp4,74,0,254,0,409,61,10,579
049_946.mp4,0,0,0,6,124,230,0,50
050_059.mp4,233,0,0,0,237,60,0,172
051_332.mp4,205,18,197,33,8,188,47,233
052_108.mp4,21,0,77,9,67,156,3,98
053_095.mp4,30,1,95,10,82,139,60,166
054_071.mp4,10,0,51,48,53,26,180,109
055_147.mp4,275,0,4,148,71,33,0,342
056_996.mp4,80,1,18,33,180,1,14,120
057_070.mp4,18,0,26,23,193,107,0,111
058_039.mp4,4,0,28,1,572,13,0,63
059_050.mp4,227,155,20,0,24,105,0,256
060_088.mp4,15,0,213,47,308,192,153,528
061_080.mp4,5,0,27,0,297,20,7,90
062_066.mp4,137,0,7,53,215,15,0,141
063_041.mp4,4,0,12,80,226,16,11,70
064_991.mp4,3,0,1,0,391,7,0,15
065_089.mp4,98,0,17,6,159,51,112,141
066_062.mp4,0,0,2,2,8,22,0,14
067_025.mp4,6,0,114,95,267,8,48,131
068_028.mp4,24,12,1,58,182,94,30,124
069_961.mp4,0,0,22,15,192,30,63,79
070_057.mp4,0,0,15,13,123,6,143,95
071_054.mp4,51,0,5,23,223,70,8,144
072_037.mp4,59,0,6,0,228,4,14,74
073_024.mp4,1,0,235,0,15,3,52,70
074_825.mp4,14,0,5,73,260,0,0,87
075_977.mp4,3,0,6,100,27,910,20,169
076_079.mp4,25,1,12,0,274,16,7,40
077_100.mp4,19,2,77,202,130,19,53,262
078_955.mp4,366,2,8,0,107,40,0,130
079_076.mp4,1,9,84,0,222,13,0,57
080_061.mp4,48,0,0,3,264,23,0,82
081_087.mp4,93,0,4,1,179,0,29,98
082_103.mp4,0,0,73,0,206,34,3,106
083_213.mp4,307,0,189,40,68,461,8,835
084_042.mp4,112,0,22,353,121,0,12,419
085_124.mp4,8,0,95,2,101,65,47,135
086_090.mp4,1,0,0,6,594,0,15,27
087_081.mp4,123,0,62,0,21,103,0,135
088_060.mp4,457,52,41,1,9,108,0,155
089_065.mp4,32,27,44,3,229,111,0,166
090_086.mp4,29,30,92,266,188,45,37,220
091_116.mp4,29,0,44,0,217,69,2,149
092_098.mp4,1,0,0,0,285,14,0,21
093_121.mp4,14,3,36,132,50,18,43,129
094_111.mp4,15,0,263,1,264,141,0,483
095_053.mp4,108,0,35,24,155,58,50,170
096_101.mp4,37,5,73,15,214,136,24,184
097_033.mp4,21,9,0,0,303,145,0,86
098_092.mp4,2,0,128,0,163,10,7,125
099_295.mp4,2,1,64,126,43,182,0,102
100_077.mp4,96,9,35,19,61,205,1,107
101_096.mp4,22,0,45,10,306,103,11,137
102_114.mp4,34,19,4,0,19,313,0,86
103_082.mp4,49,0,2,0,243,9,13,72
104_126.mp4,0,5,9,29,139,145,2,90
105_180.mp4,30,0,37,3,162,23,52,100
106_198.mp4,4,0,56,0,273,5,18,58
107_109.mp4,14,0,70,0,123,0,91,98
108_052.mp4,0,0,115,38,19,2,126,80
109_107.mp4,107,0,10,0,164,17,0,96
110_043.mp4,167,36,123,2,133,26,8,153
111_094.mp4,144,0,1,21,247,11,0,117
112_892.mp4,16,3,41,78,20,61,18,139
113_983.mp4,0,0,31,1,177,134,66,171
114_102.mp4,382,0,0,0,0,7,0,6
115_939.mp4,167,0,23,31,85,62,0,148
116_091.mp4,70,0,29,44,132,16,36,111
117_217.mp4,44,75,111,139,138,47,12,217
118_120.mp4,0,0,0,13,336,3,0,22
119_123.mp4,42,5,57,0,332,0,66,127
120_118.mp4,33,0,59,86,124,9,73,188
121_093.mp4,0,6,61,157,31,49,4,91
122_144.mp4,0,0,105,41,137,8,15,92
123_119.mp4,11,0,6,75,371,20,19,107
124_085.mp4,50,7,40,26,48,30,168,179
125_038.mp4,0,0,0,20,265,0,20,38
126_104.mp4,3,0,49,81,112,66,15,92
127_129.mp4,164,0,76,0,75,312,101,628
128_896.mp4,26,0,20,43,352,46,0,111
129_127.mp4,269,0,32,1,228,104,14,582
130_139.mp4,50,1,118,3,88,97,23,147
131_518.mp4,12,0,101,2,24,7,126,95
