Video_name,happy,angry,sad,surprise,disgust,fear,neutral,emotion_change,each_video_emotion_count,neutral_%
id0_id16_0000.mp4,173,0,11,0,59,220,6,102,469,0.012793177
id0_id16_0001.mp4,35,0,24,6,169,64,5,30,303,0.01650165
id0_id16_0002.mp4,21,0,56,1,41,231,0,53,350,0
id0_id16_0003.mp4,149,0,122,0,79,135,1,109,486,0.002057613
id0_id16_0004.mp4,14,0,3,0,259,15,0,29,291,0
id0_id16_0005.mp4,72,0,65,8,86,209,0,87,440,0
id0_id16_0006.mp4,0,0,89,96,363,0,0,45,548,0
id0_id16_0007.mp4,20,0,8,0,353,105,0,103,486,0
id0_id16_0008.mp4,18,0,6,1,342,86,0,49,453,0
id0_id16_0009.mp4,99,0,14,0,164,243,0,88,520,0
id0_id17_0000.mp4,124,1,9,0,57,278,0,71,469,0
id0_id17_0001.mp4,34,0,16,5,188,59,0,40,302,0
id0_id17_0002.mp4,30,0,9,0,36,275,0,59,350,0
id0_id17_0003.mp4,126,0,82,0,95,196,0,103,499,0
id0_id17_0005.mp4,98,0,44,12,138,141,0,74,433,0
id0_id17_0006.mp4,0,0,85,88,375,0,0,51,548,0
id0_id17_0007.mp4,111,0,13,10,292,74,0,143,500,0
id0_id17_0009.mp4,107,0,10,0,246,157,0,85,520,0
id0_id1_0000.mp4,117,0,10,0,40,302,0,78,469,0
id0_id1_0001.mp4,22,0,15,6,188,70,0,36,301,0
id0_id1_0002.mp4,62,0,17,1,124,146,0,117,350,0
id0_id1_0003.mp4,126,0,136,0,42,188,0,117,492,0
id0_id1_0005.mp4,63,0,62,20,147,152,0,92,444,0
id0_id1_0006.mp4,0,0,75,83,390,0,0,51,548,0
id0_id1_0007.mp4,48,0,10,0,286,147,0,141,491,0
id0_id1_0009.mp4,126,0,8,1,157,228,0,102,520,0
id0_id20_0000.mp4,58,0,34,0,8,366,3,76,469,0.006396588
id0_id20_0001.mp4,85,0,33,2,112,67,0,74,299,0
id0_id20_0002.mp4,55,0,11,1,7,276,0,52,350,0
id0_id20_0003.mp4,155,0,110,0,42,188,0,98,495,0
id0_id20_0004.mp4,44,0,4,0,185,45,0,56,278,0
id0_id20_0005.mp4,125,0,56,10,21,223,0,73,435,0
id0_id20_0006.mp4,8,0,96,48,391,11,0,114,554,0
id0_id20_0007.mp4,102,0,10,1,238,157,0,172,508,0
id0_id20_0009.mp4,165,0,27,3,83,242,0,93,520,0
id0_id21_0000.mp4,83,0,52,0,6,325,3,53,469,0.006396588
id0_id21_0001.mp4,45,0,22,9,168,58,0,60,302,0
id0_id21_0002.mp4,27,0,17,2,14,290,0,47,350,0
id0_id21_0003.mp4,137,0,94,3,61,206,0,114,501,0
id0_id21_0004.mp4,0,0,8,0,216,58,0,57,282,0
id0_id21_0005.mp4,60,0,39,20,99,209,0,77,427,0
id0_id21_0006.mp4,0,0,46,76,429,3,0,76,554,0
id0_id21_0007.mp4,80,0,8,26,161,239,0,175,514,0
id0_id21_0009.mp4,134,0,19,5,121,240,0,110,519,0
id0_id23_0000.mp4,32,0,43,0,50,341,3,88,469,0.006396588
id0_id23_0001.mp4,29,0,40,10,161,59,1,49,300,0.003333333
id0_id23_0002.mp4,9,0,85,0,14,242,0,71,350,0
id0_id23_0004.mp4,8,0,1,0,161,116,0,61,286,0
id0_id23_0005.mp4,102,0,25,9,88,194,0,74,418,0
id0_id23_0007.mp4,143,0,11,5,229,122,0,158,510,0
id0_id23_0009.mp4,82,0,45,4,162,226,0,123,519,0
id0_id26_0000.mp4,26,0,23,0,41,378,1,88,469,0.002132196
id0_id26_0001.mp4,43,0,10,5,183,58,3,43,302,0.009933775
id0_id26_0002.mp4,31,0,2,2,36,279,0,49,350,0
id0_id26_0003.mp4,111,0,76,0,113,196,0,142,496,0
id0_id26_0004.mp4,0,0,0,0,237,59,0,47,296,0
id0_id26_0005.mp4,63,0,47,16,87,220,0,109,433,0
id0_id26_0006.mp4,0,0,33,58,446,17,0,79,554,0
id0_id26_0007.mp4,55,0,8,12,311,124,0,171,510,0
id0_id26_0008.mp4,9,0,3,9,361,77,0,37,459,0
id0_id26_0009.mp4,82,0,14,0,134,289,0,103,519,0
id0_id28_0000.mp4,91,0,80,0,81,209,8,132,469,0.017057569
id0_id28_0001.mp4,49,0,38,2,164,46,2,51,301,0.006644518
id0_id28_0002.mp4,18,0,2,0,7,323,0,23,350,0
id0_id28_0003.mp4,171,0,94,0,47,178,7,140,497,0.014084507
id0_id28_0004.mp4,55,0,1,0,213,21,0,54,290,0
id0_id28_0005.mp4,154,0,37,4,47,183,0,87,425,0
id0_id28_0006.mp4,0,0,81,32,441,0,0,86,554,0
id0_id28_0007.mp4,100,0,9,7,206,189,0,184,511,0
id0_id28_0008.mp4,37,0,3,1,333,86,0,62,460,0
id0_id28_0009.mp4,159,0,30,0,86,242,0,103,517,0
id0_id2_0000.mp4,96,0,63,0,43,263,4,104,469,0.008528785
id0_id2_0001.mp4,22,0,56,3,160,57,3,65,301,0.009966777
id0_id2_0002.mp4,14,0,0,2,187,147,0,77,350,0
id0_id2_0003.mp4,143,0,85,3,86,181,1,106,499,0.002004008
id0_id2_0004.mp4,9,0,1,0,254,13,0,34,277,0
id0_id2_0005.mp4,63,0,7,8,194,149,4,55,425,0.009411765
id0_id2_0006.mp4,0,0,115,98,335,0,0,56,548,0
id0_id2_0007.mp4,56,0,11,3,309,110,0,143,489,0
id0_id2_0008.mp4,12,0,5,3,373,63,0,46,456,0
id0_id2_0009.mp4,74,0,5,3,260,178,0,74,520,0
id0_id3_0000.mp4,151,15,30,0,23,250,0,107,469,0
id0_id3_0001.mp4,52,0,61,3,133,49,4,69,302,0.013245033
id0_id3_0002.mp4,4,0,30,0,26,290,0,46,350,0
id0_id3_0003.mp4,126,0,105,0,84,178,4,109,497,0.00804829
id0_id3_0004.mp4,22,0,0,0,238,23,0,32,283,0
id0_id3_0005.mp4,125,0,20,3,76,210,0,74,434,0
id0_id3_0006.mp4,0,0,76,112,360,0,0,47,548,0
id0_id3_0007.mp4,23,0,11,0,372,74,0,110,480,0
id0_id3_0008.mp4,16,0,13,4,352,63,0,47,448,0
id0_id3_0009.mp4,120,0,8,0,195,197,0,108,520,0
id0_id4_0000.mp4,109,0,40,0,14,305,1,82,469,0.002132196
id0_id4_0001.mp4,25,0,49,9,157,62,0,67,302,0
