Video_name,happy,angry,sad,surprise,disgust,fear,neutral,emotion_change,each_video_emotion_count,neutral_%
id0_0000.mp4,177,0,64,0,52,171,5,108,469,0.010660981
id0_0001.mp4,73,0,33,0,175,16,4,48,301,0.013289037
id0_0002.mp4,49,0,5,0,6,290,0,28,350,0
id0_0003.mp4,262,0,53,0,47,116,6,98,484,0.012396694
id0_0004.mp4,24,0,8,0,232,29,0,53,293,0
id0_0005.mp4,198,0,139,0,10,86,0,117,433,0
id0_0006.mp4,8,0,72,80,382,0,0,59,542,0
id0_0007.mp4,205,7,5,5,118,158,0,183,498,0
id0_0008.mp4,78,0,16,4,295,62,0,84,455,0
id0_0009.mp4,162,0,32,0,79,245,0,85,518,0
id10_0000.mp4,9,0,51,16,34,27,20,66,157,0.127388535
id10_0001.mp4,0,0,0,0,22,68,0,19,90,0
id10_0002.mp4,0,0,23,0,269,25,7,65,324,0.021604938
id10_0003.mp4,0,0,5,246,51,39,0,44,341,0
id10_0004.mp4,97,0,112,16,151,56,95,145,527,0.180265655
id10_0005.mp4,6,0,9,142,119,19,42,74,337,0.12462908
id10_0006.mp4,0,0,0,95,24,0,12,12,131,0.091603053
id10_0007.mp4,0,0,0,194,312,0,8,23,514,0.015564202
id10_0008.mp4,0,0,4,86,259,15,16,62,380,0.042105263
id10_0009.mp4,30,0,48,297,79,87,25,170,566,0.044169611
id11_0000.mp4,0,0,15,100,149,81,3,71,348,0.00862069
id11_0001.mp4,58,0,94,38,205,45,2,123,442,0.004524887
id11_0002.mp4,1,0,4,100,63,161,29,63,358,0.081005587
id11_0003.mp4,9,0,57,20,221,6,9,82,322,0.027950311
id11_0004.mp4,1,0,15,126,112,65,17,70,336,0.050595238
id11_0005.mp4,0,0,8,151,55,113,1,69,328,0.00304878
id11_0006.mp4,1,0,2,106,193,4,10,36,316,0.03164557
id11_0007.mp4,0,0,41,119,75,89,0,82,324,0
id11_0008.mp4,0,0,34,147,145,37,14,85,377,0.037135279
id11_0009.mp4,35,0,16,1,256,89,0,72,397,0
id11_0010.mp4,0,0,7,166,45,30,35,42,283,0.123674912
id12_0000.mp4,0,0,1,0,372,2,1,8,376,0.002659574
id12_0001.mp4,129,0,0,28,61,178,2,114,398,0.005025126
id12_0002.mp4,0,0,32,40,93,181,14,107,360,0.038888889
id12_0003.mp4,0,0,17,108,17,240,0,56,382,0
id12_0004.mp4,3,0,38,124,65,100,1,62,331,0.003021148
id12_0005.mp4,3,0,16,260,16,14,5,44,314,0.015923567
id12_0006.mp4,2,0,43,84,103,70,6,83,308,0.019480519
id13_0000.mp4,1,0,301,115,210,4,0,506,631,0
