Video_name,happy,angry,sad,surprise,disgust,fear,neutral,emotion_change,each_video_emotion_count,neutral_%
test_00000000.mp4,112,36,20,225,59,40,7,387,499,0.014028056
test_00000001.mp4,23,0,1,2,415,9,7,42,457,0.015317287
test_00000002.mp4,159,0,0,0,1,5,0,5,165,0
test_00000003.mp4,4,0,20,1,3,0,0,10,28,0
test_00000004.mp4,0,7,2,276,16,14,0,78,315,0
test_00000005.mp4,20,0,19,100,37,47,0,137,223,0
test_00000006.mp4,18,1,7,81,120,186,0,251,413,0
test_00000007.mp4,0,0,2,1,1,3,0,5,7,0
test_00000008.mp4,0,0,0,0,0,8,0,0,8,0
test_00000009.mp4,57,1,6,3,26,121,0,42,214,0
test_00000010.mp4,47,0,0,0,0,103,0,20,150,0
test_00000011.mp4,1,0,3,36,141,122,12,153,315,0.038095238
test_00000012.mp4,7,0,0,235,61,218,0,115,521,0
test_00000013.mp4,143,0,11,1,51,141,5,108,352,0.014204545
test_00000014.mp4,0,0,60,0,133,12,0,39,205,0
test_00000015.mp4,17,0,1,14,4,37,0,14,73,0
test_00000016.mp4,2,0,5,10,0,6,1,12,24,0.041666667
test_00000017.mp4,20,0,22,110,271,23,0,185,446,0
test_00000018.mp4,172,1,0,0,5,2,3,18,183,0.016393443
test_00000019.mp4,2,0,1,0,1,155,0,7,159,0
test_00000020.mp4,0,0,9,4,42,37,9,47,101,0.089108911
test_00000021.mp4,77,0,58,93,191,152,0,315,571,0
test_00000022.mp4,32,0,0,201,149,0,16,78,398,0.040201005
test_00000023.mp4,20,0,1,0,15,8,0,22,44,0
test_00000024.mp4,229,82,65,98,22,118,1,492,615,0.001626016
test_00000025.mp4,120,0,0,0,0,37,0,20,157,0
test_00000026.mp4,17,0,5,7,152,37,0,37,218,0
test_00000027.mp4,0,0,2,0,0,3,0,1,5,0
test_00000028.mp4,103,0,41,0,0,16,0,43,160,0
test_00000029.mp4,77,0,2,0,0,191,0,36,270,0
test_00000030.mp4,2,0,13,29,22,5,0,18,71,0
test_00000031.mp4,100,0,0,0,6,243,0,44,349,0
test_00000032.mp4,2,0,4,487,6,18,0,37,517,0
test_00000033.mp4,8,0,38,20,74,105,0,132,245,0
test_00000034.mp4,0,0,0,13,5,237,3,19,258,0.011627907
test_00000035.mp4,99,3,14,0,21,180,0,66,317,0
test_00000036.mp4,0,0,2,91,5,11,0,15,109,0
test_00000037.mp4,0,0,5,5,0,4,0,4,14,0
test_00000038.mp4,0,0,0,15,0,0,0,0,15,0
test_00000039.mp4,23,0,11,5,4,15,0,30,58,0
test_00000040.mp4,324,0,85,1,61,9,13,105,493,0.026369168
test_00000041.mp4,0,1,0,24,0,2,0,3,27,0
test_00000042.mp4,10,0,74,30,11,131,0,43,256,0
test_00000043.mp4,0,0,0,0,0,62,0,0,62,0
test_00000044.mp4,1,0,3,160,59,2,27,32,252,0.107142857
test_00000045.mp4,18,0,1,10,18,35,1,42,83,0.012048193
test_00000046.mp4,0,0,0,0,1,0,0,0,1,0
test_00000047.mp4,82,90,2,0,2,414,1,129,591,0.001692047
test_00000048.mp4,0,0,5,10,3,3,0,10,21,0
test_00000049.mp4,0,0,13,383,75,30,89,105,590,0.150847458
test_00000050.mp4,0,0,25,23,89,1,0,18,138,0
test_00000051.mp4,88,0,27,138,51,146,0,149,450,0
test_00000052.mp4,6,0,1,18,35,174,0,95,234,0
test_00000053.mp4,108,8,35,0,16,2,2,55,171,0.011695906
test_00000054.mp4,4,0,4,31,27,253,0,48,319,0
test_00000055.mp4,0,0,2,0,0,0,0,0,2,0
test_00000056.mp4,1,0,0,4,0,4,0,4,9,0
test_00000057.mp4,11,9,2,70,33,21,3,26,149,0.020134228
test_00000058.mp4,1,0,0,0,0,1,0,1,2,0
test_00000059.mp4,339,0,1,0,9,2,26,40,377,0.068965517
test_00000060.mp4,57,0,0,0,1,88,0,58,146,0
test_00000061.mp4,158,0,0,0,1,3,0,8,162,0
test_00000062.mp4,1,0,134,0,12,236,0,54,383,0
test_00000063.mp4,1,0,1,35,4,120,0,12,161,0
test_00000064.mp4,218,0,73,62,3,116,0,67,472,0
test_00000065.mp4,36,0,15,32,86,85,17,224,271,0.062730627
test_00000066.mp4,0,0,5,41,63,1,22,42,132,0.166666667
test_00000067.mp4,2,0,8,88,12,103,4,90,217,0.01843318
test_00000068.mp4,0,0,2,211,120,9,0,103,342,0
test_00000069.mp4,124,0,35,15,0,1,0,41,175,0
test_00000070.mp4,1,0,0,0,0,6,0,2,7,0
test_00000071.mp4,0,0,14,70,11,80,0,37,175,0
test_00000072.mp4,110,0,15,280,25,288,0,480,718,0
test_00000073.mp4,12,0,22,42,148,89,0,124,313,0
test_00000074.mp4,7,0,131,163,159,189,6,597,655,0.009160305
test_00000075.mp4,14,0,19,1,34,106,0,48,174,0
test_00000076.mp4,0,0,30,80,320,20,0,200,450,0
test_00000077.mp4,314,0,0,0,4,2,16,22,336,0.047619048
test_00000078.mp4,0,0,67,0,9,56,0,33,132,0
test_00000079.mp4,14,0,1,175,20,24,0,40,234,0
test_00000080.mp4,57,0,6,16,0,336,0,87,415,0
test_00000081.mp4,31,0,54,121,166,28,4,321,404,0.00990099
test_00000082.mp4,178,2,94,652,39,27,28,561,1020,0.02745098
test_00000083.mp4,1,0,0,5,6,0,0,4,12,0
test_00000084.mp4,8,0,230,80,16,36,26,156,396,0.065656566
test_00000085.mp4,1,0,2,53,22,72,0,59,150,0
test_00000086.mp4,24,0,0,0,0,0,0,0,24,0
test_00000087.mp4,73,0,42,184,89,177,1,260,566,0.001766784
test_00000088.mp4,0,0,114,32,173,202,0,468,521,0
test_00000089.mp4,1,0,0,66,11,9,4,22,91,0.043956044
test_00000090.mp4,90,0,1,0,2,353,0,64,446,0
test_00000091.mp4,28,0,5,1,3,22,1,20,60,0.016666667
test_00000092.mp4,310,0,0,30,1,3,0,33,344,0
test_00000093.mp4,3,0,0,7,0,1,0,4,11,0
test_00000094.mp4,39,0,43,88,110,26,30,169,336,0.089285714
test_00000095.mp4,15,0,63,28,32,25,1,82,164,0.006097561
test_00000096.mp4,2,0,0,85,2,260,0,17,349,0
test_00000097.mp4,0,0,0,18,17,79,1,28,115,0.008695652
test_00000098.mp4,57,5,17,138,229,42,1,419,489,0.00204499
test_00000099.mp4,13,0,6,199,47,27,1,59,293,0.003412969
test_00000100.mp4,221,0,66,8,2,29,0,115,326,0
test_00000101.mp4,11,5,6,643,55,138,0,388,858,0
test_00000102.mp4,202,3,2,24,25,2,7,60,265,0.026415094
test_00000103.mp4,16,0,0,36,0,2,0,2,54,0
test_00000104.mp4,0,0,10,140,67,139,1,87,357,0.00280112
test_00000105.mp4,81,4,7,205,6,110,0,130,413,0
test_00000106.mp4,5,1,1,221,72,103,0,190,403,0
test_00000107.mp4,165,84,17,47,0,85,0,217,398,0
test_00000108.mp4,9,0,19,13,56,45,0,44,142,0
test_00000109.mp4,1,0,2,11,107,200,2,165,323,0.00619195
test_00000110.mp4,0,0,7,60,159,0,41,63,267,0.153558052
test_00000111.mp4,213,0,12,0,109,2,9,104,345,0.026086957
test_00000112.mp4,0,0,4,3,4,3,0,8,14,0
test_00000113.mp4,4,0,21,13,86,17,0,44,141,0
test_00000114.mp4,1,0,0,14,219,89,0,43,323,0
test_00000115.mp4,130,0,52,181,4,185,0,386,552,0
test_00000116.mp4,68,5,9,37,77,78,0,105,274,0
test_00000117.mp4,200,53,1,10,63,50,0,242,377,0
test_00000118.mp4,17,0,13,8,12,11,0,26,61,0
test_00000119.mp4,20,0,0,0,0,242,0,21,262,0
test_00000120.mp4,19,0,15,253,31,42,2,151,362,0.005524862
test_00000121.mp4,20,0,8,64,79,24,0,79,195,0
test_00000122.mp4,0,1,8,5,20,188,2,52,224,0.008928571
test_00000123.mp4,1,0,0,268,11,13,0,48,293,0
test_00000124.mp4,171,0,34,2,38,5,6,49,256,0.0234375
