Celeb_Real,Celeb_Fake
0.01,0.012793177
0.01,0.01650165
0,0
0.01,0.002057613
0,0
0,0
0,0
0,0
0,0
0,0
0.13,0
0,0
0.02,0
0,0
0.18,0
0.12,0
0.09,0
0.02,0
0.04,0
0.04,0
0.01,0
0,0
0.08,0
0.03,0
0.05,0
0,0
0.03,0.006396588
0,0
0.04,0
0,0
0.12,0
0,0
0.01,0
0.04,0
0,0
0,0.006396588
0.02,0
0.02,0
0,0
0,0
0.03,0
0,0
0,0
0,0
0.08,0.006396588
0,0.003333333
0,0
0.01,0
0,0
0,0
0,0
0,0.002132196
0.06,0.009933775
0,0
0.04,0
0.04,0
0.06,0
0,0
0.04,0
0,0
0,0
0,0.017057569
0,0.006644518
0,0
0,0.014084507
0.04,0
0,0
0,0
0.04,0
0,0
0,0
0,0.008528785
0.05,0.009966777
0,0
0,0.002004008
0,0
0,0.009411765
0.04,0
0,0
0,0
0,0
0,0
0,0.013245033
0,0
0,0.00804829
0,0
0,0
0,0
0,0
0.03,0
0,0
0,0.002132196
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0.010660981
0.07,0.00990099
0,0
0,0
0,0
0,0
0,0.004264392
0,0.00330033
0.08,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0.040498442
0,0
0,0.149712092
0.01,0.092307692
0,0.090225564
0,0.027237354
0,0.036649215
0,0
0,0.00931677
0,0
0.09,0.130518234
0,0.044510386
0,0.051851852
0,0.017509728
0.04,0
0.02,0
0,0.046439628
0.02,0
0,0.101727447
0.02,0.051359517
0.04,0.082089552
0,0.025291829
0.01,0.002631579
0.08,0
0,0.031055901
0,0
0,0.172744722
0.05,0.080838323
0,0.091603053
0,0.031128405
0.16,0.005263158
0.05,0.03046595
0,0.028735632
0,0.008988764
0,0.069832402
0.01,0.031545741
0,0.029850746
0,0.00304878
0.07,0.028481013
0,0
0.02,0.04787234
0,0.01511335
0,0.124137931
0,0.007518797
0,0.019553073
0.04,0
0.05,0.02866242
0,0.038709677
0,0.002659574
0,0.020050125
0.01,0.013850416
0.01,0.006060606
0,0.015923567
0,0.025806452
0,0
0,0
0,0
0.01,0
0,0.006472492
0,0
0.01,0.004357298
0,0.002164502
0,0
0,0.074358974
0.01,0.006085193
0.02,0
0,0
