FFIW_Real,FFIW_Fake
0.01,0.01
0.06,0.02
0,0
0,0
0,0
0,0
0.01,0
0,0
0,0
0,0
0,0
0.04,0.04
0,0
0,0.01
0.07,0
0,0
0.05,0.04
0,0
0.43,0.02
0,0
0.01,0.09
0,0
0.18,0.04
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.01,0
0,0.01
0,0
0,0
0,0
0,0
0,0
0.16,0.03
0,0
0,0
0,0
0.08,0.11
0,0.01
1,0
0,0
0,0
0.01,0.15
0,0
0,0
0,0
0.01,0.01
0.01,0
0,0
0,0
0.01,0.02
0,0
0.38,0.07
0,0
0,0
0,0
0,0
0,0
0.06,0.06
0.16,0.17
0.02,0.02
0,0
0,0
0,0
0,0
0,0
0,0
0.02,0.01
0,0
0.05,0
0.14,0.05
0.02,0
0,0
0,0
0.01,0.01
0.03,0.03
0.04,0
0.03,0.07
0,0
0,0
0,0
0,0
0.05,0.04
0,0
0,0.02
0,0
0,0
0.1,0.09
0.01,0.01
0,0
0,0.01
0,0
0,0
0,0
0,0
0.06,0.03
0,0
0.01,0
0,0
0,0
0,0
0,0
0.01,0.01
0.3,0.15
0.21,0.03
0,0
0,0
0,0
0,0
0,0
0.03,0
0,0
0,0
0,0.01
0,0
0,0.01
0,0
0.08,0.02
0.01,0.02
0,0
0,0.01
0,0
0.03,0.04
0,0
0.04,0.04
0,0
0,0
0.01,0
0.01,0.02
0,0
0,0
0.02,0.08
0.01,0
0,0
0,0
0.03,0.03
0.01,0.01
0,0
0,0
0,0
0,0
0,0.02
0,0
0,0.01
0,0
0,0
0,0.01
0,0
0,0
0,0.01
0,0
0,0
0,0
0,0
0.02,0
0.01,0
0.25,0.28
0,0
0.04,0.04
0,0
0,0
0,0
0,0
0,0.01
0,0
0.01,0
0.11,0.12
0.04,0.05
0,0
0,0
0.07,0
0.05,0
0.02,0
0,0
0.06,0.06
0,0
0,0.03
0.01,0.01
0,0
0,0.01
0,0
0,0
0,0
0,0
0,0.02
0,0
0.02,0.02
0,0.01
0,0
0.01,0
0.14,0.03
0,0
0,0
0,0
0,0
0.02,0.07
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.04,0
0,0
0,0
0.08,0
0.12,0.02
0,0
0,0
0.07,0.01
0,0
0.02,0.11
0,0
0.04,0.03
0,0
0.01,0
0,0
0.01,0.01
0,0
0,0
0,0
0,0
0,0
0,0
0.03,0.04
0,0
0,0.02
0.43,0.29
0.02,0.03
0,0
0,0
0,0
0,0
0.02,0.02
0.03,0
0.02,0
0,0
0,0
0,0
0.06,0.08
0.03,0.03
0,0
0,0
0,0
0,0
0,0
0.01,0.01
0.06,0.04
0,0
0,0
0,0
0,0
0.04,0.01
0.17,0.13
0,0
0,0
0.11,0.08
0.01,0
0.05,0.09
0,0
0,0
0,0
0.08,0.01
0,0
0.02,0.01
0,0
0.03,0.02
0,0
0,0
0.02,0
0,0
0,0
0,0
0.36,0.64
0.01,0.01
0.01,0
0.04,0.06
0,0.01
0,0
