Video_name,happy,angry,sad,surprise,disgust,fear,neutral,emotion_change,each_video_emotion_count,YT,DF,F2F,FS,NT,all_emotion_count,all_neutral_count,all_neutral_%,
000.mp4,0,0,8,0,336,23,30,41,397,10%,0%,1%,0%,0%,556892,29022,5%,樣本變異數
001.mp4,10,0,69,36,250,90,7,139,462,30%,0%,0%,6%,0%,,,,52960.6221
002.mp4,63,0,178,33,355,59,58,315,746,42%,0%,1%,0%,9%,,,,
003.mp4,210,1,12,13,6,61,0,58,303,19%,0%,0%,0%,0%,,,,
004.mp4,5,0,10,8,173,113,0,51,309,17%,0%,0%,0%,0%,,,,
005.mp4,7,0,5,4,317,57,0,62,390,16%,0%,0%,0%,0%,,,,
006.mp4,0,0,0,38,121,151,0,61,310,20%,1%,0%,1%,0%,,,,
007.mp4,4,0,15,225,238,3,9,122,494,25%,3%,0%,14%,0%,,,,
008.mp4,2,0,50,16,32,486,54,131,640,20%,18%,16%,16%,13%,,,,
009.mp4,101,0,12,16,9,450,0,109,588,19%,0%,0%,0%,0%,,,,
010.mp4,6,0,348,0,246,148,0,458,748,61%,0%,0%,6%,0%,,,,
011.mp4,214,1,10,0,785,7,256,861,1273,68%,0%,2%,16%,3%,,,,
012.mp4,1,0,5,76,35,153,93,123,363,34%,25%,4%,24%,12%,,,,
013.mp4,0,0,27,3,241,6,18,47,295,16%,0%,4%,18%,11%,,,,
014.mp4,7,0,12,115,553,34,1,133,722,18%,0%,0%,6%,0%,,,,
015.mp4,353,9,31,1,2,3,40,73,439,17%,1%,0%,0%,6%,,,,
016.mp4,6,6,83,0,478,16,89,141,678,21%,0%,2%,4%,7%,,,,
017.mp4,49,5,48,60,22,165,1,144,350,41%,0%,0%,0%,0%,,,,
018.mp4,12,1,1,301,68,41,8,79,432,18%,14%,1%,6%,3%,,,,
019.mp4,407,22,272,14,187,92,290,477,1284,37%,0%,6%,4%,23%,,,,
020.mp4,260,72,8,11,37,12,0,142,400,36%,0%,0%,0%,0%,,,,
021.mp4,50,11,91,97,84,111,9,189,453,42%,0%,0%,1%,3%,,,,
022.mp4,205,0,18,10,25,67,46,144,371,39%,12%,9%,12%,11%,,,,
023.mp4,17,0,9,0,527,3,0,19,556,3%,0%,0%,2%,0%,,,,
024.mp4,6,0,40,0,62,12,120,91,240,38%,0%,27%,0%,28%,,,,
025.mp4,130,0,168,69,271,31,94,191,763,25%,0%,6%,5%,13%,,,,
026.mp4,43,31,111,51,124,15,7,209,382,55%,0%,7%,3%,5%,,,,
027.mp4,1,0,35,0,165,7,0,39,208,19%,0%,0%,0%,0%,,,,
028.mp4,87,4,10,173,121,42,11,128,448,29%,3%,0%,17%,0%,,,,
029.mp4,20,0,5,3,364,6,49,97,447,22%,0%,3%,3%,7%,,,,
030.mp4,21,0,6,27,213,25,2,54,294,18%,18%,1%,1%,0%,,,,
031.mp4,259,0,46,1,211,50,0,260,567,46%,0%,0%,0%,0%,,,,
032.mp4,0,0,4,120,186,0,0,40,310,13%,0%,0%,0%,0%,,,,
033.mp4,628,6,124,0,459,473,0,1434,1690,85%,0%,0%,1%,0%,,,,
034.mp4,41,3,20,210,127,7,2,89,410,22%,0%,4%,0%,5%,,,,
035.mp4,42,0,182,0,56,136,7,156,423,37%,0%,0%,1%,0%,,,,
036.mp4,1,0,0,95,229,0,12,50,337,15%,0%,0%,2%,1%,,,,
037.mp4,0,0,2,1,451,0,0,6,454,1%,0%,0%,0%,0%,,,,
038.mp4,2,0,8,85,197,6,6,68,304,22%,0%,0%,0%,1%,,,,
039.mp4,47,0,31,2,420,112,0,120,612,20%,0%,0%,0%,0%,,,,
040.mp4,63,54,38,24,291,48,33,168,551,30%,0%,3%,4%,2%,,,,
041.mp4,155,0,37,0,155,0,2,106,349,30%,0%,0%,0%,1%,,,,
