Video_name,happy,angry,sad,surprise,disgust,fear,neutral
000.mp4,0,0,331,0,1,3,60
001.mp4,0,0,429,0,0,37,0
002.mp4,144,0,571,17,0,6,23
003.mp4,51,1,0,11,198,39,3
004.mp4,10,2,196,5,15,131,0
005.mp4,0,0,228,0,18,142,0
006.mp4,70,0,147,0,0,93,0
007.mp4,1,0,138,1,23,320,0
008.mp4,0,0,530,0,9,99,1
009.mp4,1,0,160,65,174,188,0
010.mp4,6,0,236,27,35,94,97
011.mp4,0,0,665,0,112,2,485
012.mp4,0,0,298,0,0,65,0
013.mp4,0,1,71,38,36,146,0
014.mp4,3,0,140,31,132,395,2
015.mp4,5,0,73,17,87,254,1
016.mp4,7,0,520,0,87,52,12
017.mp4,0,0,278,36,0,20,10
018.mp4,20,53,91,91,113,64,0
019.mp4,2,0,1223,4,0,52,3
020.mp4,0,0,77,6,40,267,0
021.mp4,27,0,231,0,0,201,0
022.mp4,1,0,155,2,3,188,0
023.mp4,30,0,514,0,6,4,3
024.mp4,0,0,141,0,0,18,37
025.mp4,2,0,453,1,13,304,1
026.mp4,0,0,160,0,0,58,104
027.mp4,16,1,135,2,17,18,0
028.mp4,8,0,67,0,0,367,0
029.mp4,1,0,341,0,2,80,0
030.mp4,0,4,14,70,25,131,49
031.mp4,49,4,143,49,143,142,5
032.mp4,0,0,96,5,0,207,4
033.mp4,13,0,535,34,0,762,51
034.mp4,50,2,5,165,1,185,1
035.mp4,27,0,187,0,0,209,0
036.mp4,8,7,135,5,147,35,0
037.mp4,0,3,54,2,170,212,13
038.mp4,6,0,269,0,0,33,0
039.mp4,23,0,16,0,487,83,0
040.mp4,0,0,190,1,2,356,1
041.mp4,5,0,125,19,45,135,20
042.mp4,7,0,231,7,1,94,0
043.mp4,0,0,41,0,120,330,0
044.mp4,24,1,141,29,47,86,7
045.mp4,0,0,77,0,0,277,0
046.mp4,0,0,433,0,0,4,67
047.mp4,0,0,244,0,0,75,0
048.mp4,0,0,509,0,144,236,0
049.mp4,0,0,122,0,0,105,0
050.mp4,120,0,338,0,0,72,0
051.mp4,0,0,687,0,6,21,3
052.mp4,3,1,328,0,0,3,2
053.mp4,0,0,61,0,10,346,0
054.mp4,3,0,242,0,90,30,3
055.mp4,7,0,48,2,101,236,0
056.mp4,3,0,5,1,47,161,159
057.mp4,0,0,138,0,35,259,0
058.mp4,51,0,612,0,1,1,4
059.mp4,0,0,1,2,513,187,18
060.mp4,100,0,719,13,0,207,0
061.mp4,26,0,7,2,51,253,0
062.mp4,0,0,352,1,0,77,0
063.mp4,409,0,7,14,0,500,0
064.mp4,0,0,32,0,22,344,0
065.mp4,9,0,263,18,36,79,21
066.mp4,0,0,19,0,0,47,0
067.mp4,84,4,10,271,131,34,4
068.mp4,0,0,224,1,4,171,1
069.mp4,0,0,404,46,51,274,0
070.mp4,8,0,53,50,0,266,0
071.mp4,20,0,228,7,127,80,2
072.mp4,0,0,12,0,166,125,8
073.mp4,7,0,285,6,41,361,3
074.mp4,0,0,9,0,54,282,0
075.mp4,6,0,444,0,137,280,0
076.mp4,16,0,59,1,28,241,0
077.mp4,57,0,392,11,30,235,0
078.mp4,0,3,9,93,6,392,20
079.mp4,3,1,236,48,20,108,8
080.mp4,0,0,10,2,296,175,0
081.mp4,72,4,102,55,791,145,1
082.mp4,0,0,39,0,268,9,0
083.mp4,0,1,965,4,2,433,3
084.mp4,34,38,118,216,14,39,27
085.mp4,0,0,268,0,0,61,0
086.mp4,1,0,696,0,8,231,0
087.mp4,104,0,24,3,0,168,0
088.mp4,4,0,568,0,5,97,0
089.mp4,0,0,25,7,512,192,15
090.mp4,2,0,541,11,13,83,40
091.mp4,15,0,307,6,203,339,0
092.mp4,1,0,211,1,110,136,1
093.mp4,4,0,195,3,0,134,22
094.mp4,124,1,518,3,0,90,0
095.mp4,6,0,327,2,1,683,0
096.mp4,0,0,139,0,61,304,0
097.mp4,33,0,21,13,14,399,0
098.mp4,0,0,14,2,277,16,1
099.mp4,2,1,577,18,6,34,16
100.mp4,175,0,26,5,61,136,23
101.mp4,3,0,132,16,77,833,14
102.mp4,0,0,303,0,1,0,0
103.mp4,20,0,115,1,2,457,0
104.mp4,2,0,459,0,0,15,0
105.mp4,0,0,164,0,0,141,1
106.mp4,0,0,29,0,206,121,0
107.mp4,0,0,347,2,2,170,35
108.mp4,0,0,84,0,0,26,190
109.mp4,0,0,43,0,23,234,0
110.mp4,6,0,115,17,2,138,210
111.mp4,0,0,366,2,0,33,0
112.mp4,8,3,330,0,0,21,2
113.mp4,0,0,525,0,7,311,0
114.mp4,0,0,9,0,85,1176,1
115.mp4,104,0,218,0,20,2,0
116.mp4,0,0,21,0,0,306,0
117.mp4,1,0,513,5,0,39,0
118.mp4,0,0,13,0,0,340,0
119.mp4,0,0,132,0,28,320,25
120.mp4,3,5,259,136,0,77,5
121.mp4,1,0,446,4,12,91,0
122.mp4,88,0,5,40,31,73,68
123.mp4,0,0,89,143,63,200,19
124.mp4,2,0,321,0,0,0,0
125.mp4,0,0,106,1,308,69,16
126.mp4,0,0,237,0,0,0,91
127.mp4,29,0,1150,45,4,692,0
128.mp4,2,0,72,76,133,293,0
129.mp4,59,1,309,117,8,140,0
130.mp4,3,0,358,62,15,229,2
131.mp4,225,0,78,0,0,0,0
132.mp4,0,0,48,0,49,316,0
133.mp4,89,0,474,1,12,136,0
134.mp4,0,0,76,1,91,178,1
135.mp4,0,0,319,0,0,5,4
136.mp4,1,2,302,11,96,204,0
137.mp4,0,0,73,0,129,404,0
138.mp4,3,0,295,0,0,115,0
139.mp4,0,0,95,0,280,3,0
140.mp4,58,0,46,61,3,113,2
141.mp4,19,0,265,17,49,77,103
142.mp4,1,0,601,150,8,178,14
143.mp4,64,0,53,0,12,284,0
144.mp4,4,0,8,221,73,38,0
145.mp4,0,0,250,0,0,50,0
146.mp4,7,0,674,3,0,299,35
147.mp4,267,5,12,26,85,286,1
148.mp4,0,0,699,24,40,181,0
149.mp4,0,0,108,0,0,258,0
150.mp4,0,0,130,0,2,324,0
151.mp4,124,0,25,2,148,48,0
152.mp4,0,0,48,0,1,264,0
153.mp4,1,1,21,34,191,408,77
154.mp4,0,0,796,2,10,187,76
155.mp4,0,0,132,1,1,712,0
156.mp4,9,0,676,0,137,161,30
157.mp4,10,0,329,4,122,25,0
158.mp4,8,0,406,0,0,93,0
159.mp4,2,0,1,11,182,130,0
160.mp4,0,0,59,29,297,149,0
161.mp4,0,0,234,40,8,91,0
162.mp4,6,0,373,0,65,205,36
163.mp4,81,0,56,33,1,133,0
164.mp4,63,2,125,5,24,802,0
165.mp4,0,0,203,0,15,244,0
166.mp4,0,0,395,80,61,220,0
167.mp4,1,0,109,0,12,222,0
168.mp4,0,0,347,0,2,971,0
169.mp4,0,0,629,0,0,20,0
170.mp4,6,0,208,14,5,4,235
171.mp4,29,2,10,11,0,9,0
172.mp4,0,0,693,0,0,0,1
173.mp4,63,0,206,99,8,422,10
174.mp4,22,2,109,168,106,83,0
175.mp4,4,4,258,10,21,161,7
176.mp4,1,0,382,0,5,16,12
177.mp4,1,2,224,0,0,185,12
178.mp4,0,0,504,0,2,29,0
179.mp4,15,11,700,33,39,795,1
180.mp4,23,0,278,0,77,195,1
181.mp4,11,0,237,0,0,194,36
182.mp4,0,0,402,0,153,66,0
183.mp4,6,2,175,58,0,119,0
184.mp4,0,0,339,5,516,349,49
185.mp4,1,0,100,0,2,760,0
186.mp4,1142,0,1087,25,31,40,8
187.mp4,7,0,212,450,107,163,184
188.mp4,1,0,94,0,0,233,0
189.mp4,0,0,94,2,56,361,0
190.mp4,0,0,174,0,0,17,140
191.mp4,9,0,136,7,89,144,5
192.mp4,0,0,186,3,14,84,0
193.mp4,4,25,99,94,43,90,12
194.mp4,1,0,73,0,85,462,2
195.mp4,11,0,177,0,3,153,1
196.mp4,1,0,49,2,0,206,0
197.mp4,62,5,539,92,167,11,5
198.mp4,96,0,197,66,118,133,0
199.mp4,45,139,1,3,157,4,19
200.mp4,0,0,177,0,23,430,87
201.mp4,4,0,124,0,46,694,0
202.mp4,0,0,308,0,0,15,0
203.mp4,0,0,136,11,28,277,18
204.mp4,0,0,332,0,0,63,2
205.mp4,3,0,157,0,13,137,0
206.mp4,0,0,9,11,46,648,0
207.mp4,0,6,224,4,23,8,80
208.mp4,0,0,270,0,0,193,2
209.mp4,1,0,604,11,4,51,0
210.mp4,20,0,389,120,74,236,0
211.mp4,6,0,139,121,246,144,5
212.mp4,56,0,244,3,94,18,0
213.mp4,5,0,328,2,0,46,0
214.mp4,0,0,14,0,0,440,0
215.mp4,0,0,523,1,3,61,0
216.mp4,9,0,111,82,98,101,77
217.mp4,2,1,316,274,1,80,11
218.mp4,6,0,344,0,3,0,0
219.mp4,12,0,237,2,0,122,0
220.mp4,0,0,300,6,0,51,0
221.mp4,18,0,1247,1,46,276,10
222.mp4,0,0,315,1,0,81,10
223.mp4,1,0,47,0,278,24,1
224.mp4,10,0,384,0,61,32,2
225.mp4,0,0,63,6,0,185,0
226.mp4,115,0,212,4,29,62,14
227.mp4,0,0,441,0,0,0,1
228.mp4,5,0,55,3,0,257,224
229.mp4,0,0,228,3,0,160,1
230.mp4,0,0,358,1,0,5,8
231.mp4,1,0,793,0,0,1,0
232.mp4,98,0,178,0,43,25,350
233.mp4,0,3,333,135,206,978,1
234.mp4,18,0,165,12,306,27,0
235.mp4,10,0,211,8,38,46,0
236.mp4,0,1,14,2,457,190,0
237.mp4,0,0,295,0,158,304,0
238.mp4,0,0,29,0,0,593,0
239.mp4,170,0,611,107,202,64,1
240.mp4,11,0,924,144,445,590,4
241.mp4,2,0,68,0,156,66,0
242.mp4,3,0,124,0,54,67,5
243.mp4,116,0,283,0,0,12,0
244.mp4,0,0,516,1,3,27,1
245.mp4,2,0,2,9,29,292,0
246.mp4,11,0,512,0,0,3,0
247.mp4,0,0,114,15,71,158,45
248.mp4,0,0,68,0,11,355,18
249.mp4,4,0,202,3,1,539,42
250.mp4,3,0,450,0,11,95,9
251.mp4,1,0,337,0,0,9,0
252.mp4,3,98,27,156,68,235,0
253.mp4,0,0,445,18,0,23,16
254.mp4,0,0,326,28,53,20,0
255.mp4,0,1,205,5,0,200,77
256.mp4,0,0,201,0,3,341,0
257.mp4,0,0,774,0,1,21,0
258.mp4,1,1,450,0,1,48,1
259.mp4,0,0,235,0,0,235,0
260.mp4,1,0,263,0,0,38,0
261.mp4,0,0,360,2,0,316,0
262.mp4,0,0,257,0,6,130,4
263.mp4,6,0,291,0,3,23,13
264.mp4,4,0,227,0,0,236,3
265.mp4,2,26,197,176,30,11,87
266.mp4,9,0,276,7,0,175,0
267.mp4,44,5,0,0,7,244,6
268.mp4,7,32,721,145,343,181,34
269.mp4,9,0,56,1,24,269,0
270.mp4,0,0,28,0,233,68,10
271.mp4,7,0,482,0,0,7,0
272.mp4,0,0,315,1,0,6,1
273.mp4,0,0,73,40,2,143,23
274.mp4,27,0,50,1,3,46,7
275.mp4,0,0,293,0,129,2,0
276.mp4,10,0,25,1,0,331,0
277.mp4,2,278,652,3,227,32,28
278.mp4,17,0,16,0,301,116,0
279.mp4,7,0,86,1,0,409,0
280.mp4,0,0,551,0,0,0,0
281.mp4,0,0,308,0,0,2,0
282.mp4,7,0,546,0,0,65,0
283.mp4,63,0,890,0,13,0,0
284.mp4,6,0,416,1,54,6,41
285.mp4,0,10,157,0,7,246,1
286.mp4,101,18,2,383,66,98,0
287.mp4,0,0,359,0,0,2,7
288.mp4,115,0,415,0,0,205,1
289.mp4,0,0,620,0,2,280,227
290.mp4,0,0,373,0,0,50,0
291.mp4,48,0,4,146,65,16,53
292.mp4,0,0,336,0,0,70,21
293.mp4,3,0,338,0,0,421,0
294.mp4,14,0,110,0,2,402,85
295.mp4,0,0,70,25,260,9,23
296.mp4,0,0,73,0,17,259,0
297.mp4,0,0,284,1,17,87,1
298.mp4,0,0,469,0,71,29,0
299.mp4,0,0,284,0,1,24,0
300.mp4,45,0,415,0,39,83,0
301.mp4,8,0,349,0,2,807,0
302.mp4,3,0,742,3,55,7,58
303.mp4,0,0,43,33,371,35,39
304.mp4,0,0,572,0,3,35,0
305.mp4,64,0,1195,0,18,565,3
306.mp4,2,0,148,0,436,146,0
307.mp4,12,0,309,0,1,3,27
308.mp4,0,0,437,0,2,66,0
309.mp4,1,0,938,0,0,11,39
310.mp4,194,0,167,4,0,10,0
311.mp4,7,0,255,1,11,18,49
312.mp4,0,0,179,0,0,249,0
313.mp4,7,0,55,1,75,343,0
