檔案名稱,影片秒數,眨眼次數,平均眨眼秒數
01__exit_phone_room.mp4,12.708333333333334,2,0.4620249271392822
01__hugging_happy.mp4,32.791666666666664,8,2.2866765090397427
01__kitchen_pan.mp4,23.333333333333332,1,0
01__kitchen_still.mp4,33.333333333333336,0,0
01__meeting_serious.mp4,43.541666666666664,0,0
01__outside_talking_pan_laughing.mp4,26.083333333333332,43,0.7049200478054228
01__outside_talking_still_laughing.mp4,35.458333333333336,64,0.7136159359462677
01__podium_speech_happy.mp4,37.583333333333336,23,2.277048501101407
01__secret_conversation.mp4,40.208333333333336,2,0.5920674800872803
01__talking_against_wall.mp4,35.833333333333336,4,14.29390557607015
01__talking_angry_couch.mp4,62.041666666666664,50,1.6164047231479568
01__walking_and_outside_surprised.mp4,45.208333333333336,51,1.1062397813796998
01__walking_down_indoor_hall_disgust.mp4,34.75,58,0.6866572446990431
01__walking_down_street_outside_angry.mp4,25.416666666666668,3,0.4569361209869385
01__walking_outside_cafe_disgusted.mp4,12.75,6,2.467770290374756
01__walk_down_hall_angry.mp4,15.458333333333334,3,0.6340683698654175
02__exit_phone_room.mp4,15.166666666666666,2,0.727226734161377
02__hugging_happy.mp4,33.541666666666664,5,9.033847749233246
02__kitchen_pan.mp4,24.625,4,9.313971281051636
02__kitchen_still.mp4,35.625,11,4.613469052314758
02__meeting_serious.mp4,41.041666666666664,0,0
02__outside_talking_pan_laughing.mp4,27.541666666666668,56,0.6886104497042569
02__outside_talking_still_laughing.mp4,34.166666666666664,67,0.7055709470402111
02__podium_speech_happy.mp4,44.833333333333336,30,2.066884936957524
02__secret_conversation.mp4,42.5,1,0
02__talking_against_wall.mp4,41.25,11,3.2900241374969483
02__talking_angry_couch.mp4,54.166666666666664,27,2.986339284823491
02__walking_and_outside_surprised.mp4,45.208333333333336,51,1.1550013732910156
02__walking_down_indoor_hall_disgust.mp4,34.291666666666664,57,0.7130545505455562
02__walking_down_street_outside_angry.mp4,31.0,5,5.508827447891235
02__walking_outside_cafe_disgusted.mp4,24.041666666666668,4,6.158786376317342
02__walk_down_hall_angry.mp4,16.875,2,0.668022632598877
03__exit_phone_room.mp4,25.833333333333332,6,4.59938416481018
03__hugging_happy.mp4,34.0,0,0
03__kitchen_pan.mp4,22.875,0,0
03__kitchen_still.mp4,39.791666666666664,1,0
03__meeting_serious.mp4,40.0,0,0
03__outside_talking_pan_laughing.mp4,30.458333333333332,32,1.007303653224822
03__outside_talking_still_laughing.mp4,39.541666666666664,15,3.0804571083613803
03__podium_speech_happy.mp4,34.958333333333336,14,2.8555912604698768
03__secret_conversation.mp4,35.583333333333336,0,0
03__talking_against_wall.mp4,37.916666666666664,1,0
03__talking_angry_couch.mp4,60.666666666666664,57,1.3282228708267212
03__walking_and_outside_surprised.mp4,47.833333333333336,100,0.5738041376826739
03__walking_down_indoor_hall_disgust.mp4,61.041666666666664,4,3.2833131154378257
03__walking_down_street_outside_angry.mp4,50.708333333333336,0,0
03__walking_outside_cafe_disgusted.mp4,29.875,3,5.8021934032440186
03__walk_down_hall_angry.mp4,24.375,2,0.5965714454650879
04__exit_phone_room.mp4,16.125,4,4.377097209294637
04__kitchen_pan.mp4,20.791666666666668,5,5.8979379534721375
04__kitchen_still.mp4,35.0,9,3.9320318400859833
04__outside_talking_pan_laughing.mp4,33.458333333333336,3,0.5021989345550537
04__outside_talking_still_laughing.mp4,33.75,0,0
04__podium_speech_happy.mp4,38.833333333333336,72,0.6480056097809698
04__secret_conversation.mp4,38.125,0,0
04__talking_against_wall.mp4,37.5,43,1.131991255851019
04__talking_angry_couch.mp4,57.5,56,1.2518233559348366
04__walking_down_street_outside_angry.mp4,24.041666666666668,16,1.2021324316660562
04__walking_outside_cafe_disgusted.mp4,16.875,2,0.549100399017334
04__walk_down_hall_angry.mp4,14.208333333333334,3,0.5628820657730103
05__exit_phone_room.mp4,21.583333333333332,4,5.805203278859456
05__hugging_happy.mp4,34.166666666666664,8,4.676850387028286
05__kitchen_pan.mp4,28.208333333333332,13,2.6691826780637107
05__kitchen_still.mp4,36.458333333333336,10,2.9285553561316595
05__outside_talking_pan_laughing.mp4,31.458333333333332,73,0.5186638898319669
05__outside_talking_still_laughing.mp4,40.0,84,0.5891055285212505
05__podium_speech_happy.mp4,45.0,45,1.202560311014002
05__talking_against_wall.mp4,34.791666666666664,15,2.852382114955357
05__walking_down_street_outside_angry.mp4,35.291666666666664,2,0.47707557678222656
05__walking_outside_cafe_disgusted.mp4,26.333333333333332,1,0
05__walk_down_hall_angry.mp4,24.583333333333332,2,0.8745841979980469
06__exit_phone_room.mp4,12.375,3,1.2634323835372925
06__hugging_happy.mp4,36.666666666666664,8,3.507148265838623
06__kitchen_pan.mp4,30.125,1,0
06__kitchen_still.mp4,38.125,3,17.04272186756134
06__outside_talking_pan_laughing.mp4,28.25,40,0.8811921034103785
06__outside_talking_still_laughing.mp4,35.208333333333336,31,1.3541558663050333
06__podium_speech_happy.mp4,52.291666666666664,40,1.6496905791453826
06__talking_against_wall.mp4,35.208333333333336,5,8.23211258649826
06__talking_angry_couch.mp4,49.375,48,1.3458604711167357
06__walking_and_outside_surprised.mp4,42.291666666666664,39,1.4195373183802555
06__walking_down_indoor_hall_disgust.mp4,57.208333333333336,81,0.8934288591146469
06__walking_down_street_outside_angry.mp4,31.291666666666668,7,4.495263298352559
06__walking_outside_cafe_disgusted.mp4,14.833333333333334,20,0.7570348036916632
06__walk_down_hall_angry.mp4,18.625,2,0.5812020301818848
07__exit_phone_room.mp4,20.291666666666668,2,0.5912494659423828
07__hugging_happy.mp4,36.458333333333336,13,2.2514565785725913
07__kitchen_pan.mp4,24.083333333333332,5,6.989252328872681
07__kitchen_still.mp4,35.0,3,8.427433013916016
07__outside_talking_pan_laughing.mp4,29.916666666666668,20,0.9135639542027524
07__outside_talking_still_laughing.mp4,35.833333333333336,77,0.5635699692525362
07__podium_speech_happy.mp4,46.291666666666664,24,2.0934556152509605
07__secret_conversation.mp4,41.458333333333336,47,1.0611829446709675
07__talking_against_wall.mp4,34.583333333333336,28,1.5212555019943803
07__talking_angry_couch.mp4,67.5,70,1.123239026553389
07__walking_down_street_outside_angry.mp4,32.75,4,1.0474976698557537
07__walking_outside_cafe_disgusted.mp4,23.666666666666668,29,0.6842827796936035
07__walk_down_hall_angry.mp4,30.166666666666668,1,0
08__exit_phone_room.mp4,15.958333333333334,4,0.5038202603658041
