Video_ID,Video_Time,Blink_count,Ave_count,1st(5 sec),2st(5 sec),3st(5 sec),Avg Time varibale(5 sec),,,,,母體1-3(5 sec) 標準差,
000_003.mp4,12.12,8,1.729279859,3,4,0,3.5,,4.333333333,,,4.141779958,
001_870.mp4,24.16,6,2.970139551,0,2,1,1.5,,1,,,,
002_006.mp4,10.33333333,18,0.794373456,9,8,0,8.5,,24.33333333,,,,樣本1-3(5 sec)變異數
003_000.mp4,15.84,34,0.527917371,11,9,12,10.66666667,,2.333333333,,,,17.16006124
004_982.mp4,33.8,22,1.507442508,1,6,4,3,,6.333333333,,,,
005_010.mp4,18.96,3,0.991000295,0,3,0,1,,3,,,,樣本1-3(5 sec)平均數
006_002.mp4,23.1,1,0,0,0,0,0.25,,0,,,,3.307666667
007_132.mp4,16.52,10,1.867152241,2,4,4,3.333333333,,1.333333333,,,,
008_990.mp4,12.2,0,0,0,0,0,0,,0,,,,
009_027.mp4,10.5,5,2.431144536,2,3,0,2.5,,2.333333333,,,,
010_005.mp4,15.4,8,2.437003919,2,1,4,2.333333333,,2.333333333,,,,
011_805.mp4,17.125,14,1.38488102,2,1,6,3,,7,,,,
012_026.mp4,12.88,2,9.408030987,1,0,0,0.5,,0.333333333,,,,
013_883.mp4,17.32,0,0,0,0,0,0,,0,,,,
014_790.mp4,23,33,0.945210099,4,7,10,7.25,,9,,,,
015_919.mp4,17.8,17,1.3885068,10,5,1,5.333333333,,20.33333333,,,,
016_209.mp4,11.23333333,2,4.770347595,0,2,0,1,,1.333333333,,,,
017_803.mp4,11.88,2,0.454152584,0,2,0,1,,1.333333333,,,,
018_019.mp4,46.16666667,7,6.682671984,0,1,1,0.777777778,,0.333333333,,,,
019_018.mp4,14.4,4,2.225666285,2,2,0,2,,1.333333333,,,,
020_344.mp4,25.24,62,0.455450687,11,13,12,12.2,,1,,,,
021_312.mp4,14.26666667,22,0.826804377,8,10,0,9,,28,,,,
022_489.mp4,18.86666667,1,0,0,0,1,0.333333333,,0.333333333,,,,
023_923.mp4,24.08,0,0,0,0,0,0,,0,,,,
024_073.mp4,28.12,8,3.911025013,1,1,3,1.4,,1.333333333,,,,
025_067.mp4,17.93333333,0,0,0,0,0,0,,0,,,,
026_012.mp4,14.52,23,0.734181729,10,5,0,7.5,,25,,,,
027_009.mp4,19.6,10,2.500621292,1,3,4,2.666666667,,2.333333333,,,,
028_068.mp4,13.36666667,0,0,0,0,0,0,,0,,,,
029_048.mp4,19.4,0,0,0,0,0,0,,0,,,,
030_193.mp4,12.4,7,2.183601856,1,4,0,2.5,,4.333333333,,,,
031_163.mp4,10.13333333,18,0.784866319,7,10,0,8.5,,26.33333333,,,,
032_944.mp4,11.4,13,0.982707699,5,6,0,5.5,,10.33333333,,,,
033_097.mp4,19.12,23,0.691290682,10,7,0,8.5,,26.33333333,,,,
034_590.mp4,20,29,0.917901312,11,8,3,7.25,,16.33333333,,,,
035_036.mp4,13.48,0,0,0,0,0,0,,0,,,,
036_035.mp4,16.92,2,2.385396719,2,0,0,0.666666667,,1.333333333,,,,
037_072.mp4,12.44,1,0,1,0,0,0.5,,0.333333333,,,,
038_125.mp4,16.66666667,2,11.46699119,0,1,1,0.666666667,,0.333333333,,,,
039_058.mp4,22.3,10,3.311320278,5,1,2,2.25,,4.333333333,,,,
040_997.mp4,17.52,3,0.720014572,2,1,0,1,,1,,,,
041_063.mp4,37.2,31,1.294683663,5,1,4,4.142857143,,4.333333333,,,,
042_084.mp4,15.625,18,0.87575754,8,6,4,6,,4,,,,
043_110.mp4,18.83333333,31,0.84864401,8,6,10,8,,4,,,,
044_945.mp4,25.36666667,33,1.044739373,7,5,4,6.4,,2.333333333,,,,
045_889.mp4,13.16,1,0,0,0,0,0,,0,,,,
046_904.mp4,11.96666667,0,0,0,0,0,0,,0,,,,
047_862.mp4,15.66666667,14,1.596405359,1,5,7,4.333333333,,9.333333333,,,,
048_029.mp4,16.64,3,4.739265561,1,2,0,1,,1,,,,
049_946.mp4,15.4,8,2.780205352,1,2,4,2.333333333,,2.333333333,,,,
050_059.mp4,28.84,16,2.088595899,2,1,4,2.8,,2.333333333,,,,
051_332.mp4,27.8,32,0.980272216,7,5,4,5.6,,2.333333333,,,,
052_108.mp4,10,1,0,0,1,0,0.5,,0.333333333,,,,
053_095.mp4,40.24,1,0,1,0,0,0.125,,0.333333333,,,,
054_071.mp4,15.1,4,5.477946361,1,1,2,1.333333333,,0.333333333,,,,
055_147.mp4,22.23333333,5,5.661365688,1,2,0,1.25,,1,,,,
056_996.mp4,12.48,15,0.929036226,6,7,0,6.5,,14.33333333,,,,
057_070.mp4,14.68,8,2.147744281,2,3,0,2.5,,2.333333333,,,,
058_039.mp4,20.3,53,0.520958318,14,13,12,13,,1,,,,
059_050.mp4,21.2,32,0.765016548,10,8,8,7.75,,1.333333333,,,,
060_088.mp4,26.6,45,0.646396545,9,10,5,8.2,,7,,,,
061_080.mp4,19.32,16,1.389298614,5,3,3,3.666666667,,1.333333333,,,,
062_066.mp4,14.5,4,4.471241236,1,2,0,1.5,,1,,,,
063_041.mp4,13.96,10,1.695407311,4,3,0,3.5,,4.333333333,,,,
064_991.mp4,16.08,19,0.878693673,7,9,3,6.333333333,,9.333333333,,,,
065_089.mp4,30.04,41,0.849563134,9,7,6,6.833333333,,2.333333333,,,,
066_062.mp4,14.1,34,0.573116526,14,9,0,11.5,,50.33333333,,,,
067_025.mp4,24.9,9,4.169553787,1,2,2,1.75,,0.333333333,,,,
068_028.mp4,14.46666667,0,0,0,0,0,0,,0,,,,
069_961.mp4,10.76666667,10,1.533319129,4,5,0,4.5,,7,,,,
070_057.mp4,17.24,29,0.676653615,5,11,9,8.333333333,,9.333333333,,,,
071_054.mp4,12.26666667,0,0,0,0,0,0,,0,,,,
072_037.mp4,18.16,5,3.892703652,1,2,1,1.333333333,,0.333333333,,,,
073_024.mp4,12.24,0,0,0,0,0,0,,0,,,,
074_825.mp4,21.88,1,0,1,0,0,0.25,,0.333333333,,,,
075_977.mp4,21.7,0,0,0,0,0,0,,0,,,,
076_079.mp4,14.13333333,20,0.955973638,8,5,0,6.5,,16.33333333,,,,
077_100.mp4,16.92,0,0,0,0,0,0,,0,,,,
078_955.mp4,21.24,9,2.801750243,3,3,1,2.25,,1.333333333,,,,
079_076.mp4,10.96666667,2,0.760999918,2,0,0,1,,1.333333333,,,,
080_061.mp4,13.48,7,1.822499673,2,3,0,2.5,,2.333333333,,,,
