Video_ID,Video_Time,Blink_count,Ave_count,1st(5 sec),2st(5 sec),3st(5 sec),Avg Time varibale(5 sec),,母體1-3(5 sec) 標準差,
000_003.mp4,12.12,19,0.70256975,7,9,0,8,,3.958719434,
001_870.mp4,18.4,12,1.546517849,2,4,4,3.333333333,,,樣本1-3(5 sec)變異數
002_006.mp4,10.33333333,19,0.498372118,5,13,0,9,,,15.67668512
003_000.mp4,12.12,7,1.928101103,3,3,0,3,,,樣本1-3(5 sec)平均數
004_982.mp4,12.36,16,0.555005662,2,9,0,5.5,,,3.102666667
005_010.mp4,15.4,8,2.37703245,1,2,5,2.666666667,,,
006_002.mp4,10.33333333,4,1.860064745,0,3,0,1.5,,,
007_132.mp4,16.52,1,0,0,0,1,0.333333333,,,
008_990.mp4,12.2,8,1.5903915,3,4,0,3.5,,,
009_027.mp4,10.5,11,1.284594226,4,6,0,5,,,
010_005.mp4,15.4,8,2.162737744,2,4,2,2.666666667,,,
011_805.mp4,17.125,38,0.490577079,12,11,12,11.66666667,,,
012_026.mp4,12.88,3,3.578888535,2,1,0,1.5,,,
013_883.mp4,13.28,0,0,0,0,0,0,,,
014_790.mp4,22.53333333,65,0.473897904,13,14,15,14.25,,,
015_919.mp4,14.56666667,23,0.845578172,13,7,0,10,,,
016_209.mp4,11.23333333,7,2.416087151,3,2,0,2.5,,,
017_803.mp4,11.88,4,3.086603721,2,1,0,1.5,,,
018_019.mp4,14.4,0,0,0,0,0,0,,,
019_018.mp4,14.4,5,2.027393103,2,3,0,2.5,,,
020_344.mp4,15.6,39,0.449966261,13,12,13,12.66666667,,,
021_312.mp4,14.26666667,16,1.184572426,7,6,0,6.5,,,
022_489.mp4,10.83333333,0,0,0,0,0,0,,,
023_923.mp4,22.12,5,4.522500515,1,1,0,1.25,,,
024_073.mp4,12.24,2,12.66335487,1,0,0,0.5,,,
025_067.mp4,17.93333333,2,5.800624609,0,1,1,0.666666667,,,
026_012.mp4,12.88,24,0.61831776,12,8,0,10,,,
027_009.mp4,10.5,7,1.33516252,1,5,0,3,,,
028_068.mp4,13.36666667,1,0,0,0,0,0,,,
029_048.mp4,16.64,1,0,1,0,0,0.333333333,,,
030_193.mp4,9.9,5,0.945079863,0,0,0,0,,,
031_163.mp4,10.13333333,7,2.267281771,5,1,0,3,,,
032_944.mp4,10.33333333,6,2.094297123,5,1,0,3,,,
033_097.mp4,19.12,37,0.584215403,10,9,10,9.666666667,,,
034_590.mp4,13.56666667,10,1.970331404,4,3,0,3.5,,,
035_036.mp4,13.48,0,0,0,0,0,0,,,
036_035.mp4,13.48,10,1.420590719,5,2,0,3.5,,,
037_072.mp4,12.44,6,1.836742163,2,3,0,2.5,,,
038_125.mp4,10.16666667,2,0.765177488,0,2,0,1,,,
039_058.mp4,20.3,34,0.777867324,10,9,7,8.5,,,
040_997.mp4,17.52,3,5.184555173,1,1,1,1,,,
041_063.mp4,13.96,15,1.077013356,5,4,0,4.5,,,
042_084.mp4,14.08333333,19,0.839893182,6,4,0,5,,,
043_110.mp4,16.5,24,0.935327177,7,5,9,7,,,
044_945.mp4,11.16666667,10,1.506652647,7,2,0,4.5,,,
045_889.mp4,13.16,0,0,0,0,0,0,,,
046_904.mp4,11.96666667,1,0,1,0,0,0.5,,,
047_862.mp4,10.63333333,9,1.530450463,2,7,0,4.5,,,
048_029.mp4,16.64,0,0,0,0,0,0,,,
049_946.mp4,12,7,2.440981348,1,2,0,1.5,,,
050_059.mp4,21.2,9,2.763106436,2,1,3,2,,,
051_332.mp4,27.8,50,0.629063845,11,9,6,9,,,
052_108.mp4,10,4,3.358788252,1,3,0,2,,,
053_095.mp4,16.68,2,6.930858612,1,1,0,0.666666667,,,
054_071.mp4,12.26666667,1,0,0,1,0,0.5,,,
055_147.mp4,13.13333333,2,3.059120893,0,2,0,1,,,
056_996.mp4,12.48,29,0.479676238,12,12,0,12,,,
057_070.mp4,14.68,28,0.615235982,8,10,0,9,,,
058_039.mp4,20.3,22,1.174959887,7,8,4,5.5,,,
059_050.mp4,21.2,53,0.450065737,13,12,13,12.5,,,
060_088.mp4,26.6,23,1.268570542,5,5,3,4,,,
061_080.mp4,13.48,14,1.102038072,5,5,0,5,,,
062_066.mp4,14.1,22,0.900075674,9,5,0,7,,,
063_041.mp4,13.96,10,1.240862105,4,3,0,3.5,,,
064_991.mp4,16.08,6,1.929832125,2,3,1,2,,,
065_089.mp4,17.68,18,1.112576835,7,4,6,5.666666667,,,
066_062.mp4,14.1,24,0.759394345,9,6,0,7.5,,,
067_025.mp4,17.93333333,0,0,0,0,0,0,,,
068_028.mp4,13.36666667,2,9.227229357,1,0,0,0.5,,,
069_961.mp4,10.76666667,1,0,0,1,0,0.5,,,
070_057.mp4,14.68,5,2.768115401,1,2,0,1.5,,,
071_054.mp4,12.26666667,14,1.215384465,7,3,0,5,,,
072_037.mp4,12.44,4,2.956609805,2,2,0,2,,,
073_024.mp4,12.24,0,0,0,0,0,0,,,
074_825.mp4,13.8,0,0,0,0,0,0,,,
075_977.mp4,20.43333333,2,1.529314995,2,0,0,0.5,,,
076_079.mp4,10.96666667,2,0.759042263,2,0,0,1,,,
077_100.mp4,16.92,1,0,0,1,0,0.333333333,,,
078_955.mp4,20.92,20,1.226902159,6,5,3,4.5,,,
079_076.mp4,10.96666667,20,0.767441348,13,4,0,8.5,,,
080_061.mp4,13.48,15,0.977042965,5,5,0,5,,,
081_087.mp4,12.36,8,1.196066073,3,5,0,4,,,
082_103.mp4,12.64,5,2.96698314,2,2,0,2,,,
083_213.mp4,12.6,4,3.305374066,1,2,0,1.5,,,
084_042.mp4,22.53333333,17,1.173209071,4,4,4,3.75,,,
085_124.mp4,12.72,1,0,0,1,0,0.5,,,
086_090.mp4,22.9,0,0,0,0,0,0,,,
087_081.mp4,12.36,10,1.449983703,5,3,0,4,,,
088_060.mp4,26.6,40,0.740867132,10,7,5,7.6,,,
089_065.mp4,17.68,24,0.837271732,7,8,6,7,,,
090_086.mp4,22.9,10,1.969033612,0,1,4,2,,,
091_116.mp4,10.9,0,0,0,0,0,0,,,
092_098.mp4,11.96,20,0.679533883,10,9,0,9.5,,,
093_121.mp4,12.83333333,1,0,1,0,0,0.5,,,
094_111.mp4,17.32,39,0.484497252,12,11,12,11.66666667,,,
095_053.mp4,16.68,1,0,1,0,0,0.333333333,,,
096_101.mp4,16.8,0,0,0,0,0,0,,,
097_033.mp4,19.12,36,0.607999986,10,9,8,9,,,
098_092.mp4,11.96,25,0.522791733,12,11,0,11.5,,,
099_295.mp4,16.44,13,2.166833321,3,5,2,3.333333333,,,
100_077.mp4,16.92,7,2.692833265,1,4,1,2,,,
101_096.mp4,16.8,18,1.209531139,4,3,7,4.666666667,,,
102_114.mp4,15.56,39,0.44994732,13,12,13,12.66666667,,,
103_082.mp4,12.64,0,0,0,0,0,0,,,
104_126.mp4,10.93333333,18,0.606117725,5,11,0,8,,,
105_180.mp4,10,5,2.93599999,2,3,0,2.5,,,
106_198.mp4,11.86666667,20,0.810894502,9,7,0,8,,,
107_109.mp4,11.92,9,1.501750052,4,3,0,3.5,,,
108_052.mp4,10,4,1.530667464,4,0,0,2,,,
109_107.mp4,11.92,6,1.647199249,3,2,0,2.5,,,
110_043.mp4,16.5,33,0.679937452,10,8,11,9.666666667,,,
111_094.mp4,17.32,6,3.105104971,2,2,2,2,,,
