Video_ID,Video_Time,Blink_count,Ave_count,1st(5 sec),2st(5 sec),3st(5 sec),Avg Time varibale(5 sec),,母體1-3(5 sec) 標準差,,
000_003.mp4,12.12,9,1.513204098,3,5,0,4,,4.030126328,,
001_870.mp4,18.4,9,2.304154098,2,3,1,2,,,,
002_006.mp4,10.33333333,19,0.750049869,13,6,0,9.5,,,,
003_000.mp4,12.12,22,0.621707632,8,9,0,8.5,,樣本1-3(5 sec)變異數,,
004_982.mp4,12.36,9,1.109478414,1,7,0,4,,16.247334,,
005_010.mp4,15.4,8,2.003884213,2,4,2,2.666666667,,,,
006_002.mp4,10.33333333,15,0.620383688,4,10,0,7,,,,樣本1-3(5 sec)平均數
007_132.mp4,16.52,11,1.678319025,3,3,5,3.666666667,,,,3.285333333
008_990.mp4,12.2,2,8.539314032,1,0,0,0.5,,,,
009_027.mp4,10.5,10,1.437150558,2,7,0,4.5,,,,
010_005.mp4,15.4,9,2.071610332,2,3,4,3,,,,
011_805.mp4,17.125,5,3.919831991,1,0,3,1.333333333,,,,
012_026.mp4,12.88,2,9.948674679,1,0,0,0.5,,,,
013_883.mp4,13.28,0,0,0,0,0,0,,,,
014_790.mp4,22.53333333,41,0.754995531,7,8,11,9,,,,
015_919.mp4,14.56666667,17,1.072252989,10,5,0,7.5,,,,
016_209.mp4,11.23333333,8,1.697372913,4,4,0,4,,,,
017_803.mp4,11.88,2,0.448999405,0,2,0,1,,,,
018_019.mp4,14.4,3,5.049317002,1,1,0,1,,,,
019_018.mp4,14.4,2,6.125738859,1,1,0,1,,,,
020_344.mp4,15.6,38,0.461493131,12,13,12,12.33333333,,,,
021_312.mp4,14.26666667,32,0.57666797,12,12,0,12,,,,
022_489.mp4,10.83333333,1,0,0,1,0,0.5,,,,
023_923.mp4,22.12,1,0,1,0,0,0.25,,,,
024_073.mp4,12.24,4,2.810789585,1,3,0,2,,,,
025_067.mp4,17.93333333,0,0,0,0,0,0,,,,
026_012.mp4,12.88,18,0.836801361,9,5,0,7,,,,
027_009.mp4,10.5,5,2.712069273,1,3,0,2,,,,
028_068.mp4,13.36666667,2,13.05287433,1,0,0,0.5,,,,
029_048.mp4,16.64,0,0,0,0,0,0,,,,
030_193.mp4,9.9,3,1.346713662,0,0,0,0,,,,
031_163.mp4,10.13333333,12,1.171278217,6,6,0,6,,,,
032_944.mp4,10.33333333,10,1.125577079,4,6,0,5,,,,
033_097.mp4,19.12,34,0.514063394,10,11,12,11,,,,
034_590.mp4,13.56666667,20,0.952487983,11,6,0,8.5,,,,
035_036.mp4,13.48,1,0,1,0,0,0.5,,,,
036_035.mp4,13.48,3,3.759976983,2,1,0,1.5,,,,
037_072.mp4,12.44,4,3.766696692,2,1,0,1.5,,,,
038_125.mp4,10.16666667,1,0,0,1,0,0.5,,,,
039_058.mp4,20.3,14,1.887130059,5,3,4,3.5,,,,
040_997.mp4,17.52,5,1.361123979,2,3,0,1.666666667,,,,
041_063.mp4,13.96,14,0.934801395,5,4,0,4.5,,,,
042_084.mp4,14.08333333,22,0.698718207,12,6,0,9,,,,
043_110.mp4,16.5,35,0.62947727,10,10,13,11,,,,
044_945.mp4,11.16666667,10,1.368711207,7,3,0,5,,,,
045_889.mp4,13.16,2,2.444493055,0,0,0,0,,,,
046_904.mp4,11.96666667,2,1.67818284,0,2,0,1,,,,
047_862.mp4,10.63333333,9,1.710516423,1,7,0,4,,,,
048_029.mp4,16.64,18,0.875718229,3,8,7,6,,,,
049_946.mp4,12,6,2.979808617,1,2,0,1.5,,,,
050_059.mp4,21.2,32,0.694115123,3,6,11,7.5,,,,
051_332.mp4,27.8,30,1.018489542,6,4,5,5.2,,,,
052_108.mp4,10,1,0,0,1,0,0.5,,,,
053_095.mp4,16.68,1,0,1,0,0,0.333333333,,,,
054_071.mp4,12.26666667,5,4.070748031,1,3,0,2,,,,
055_147.mp4,13.13333333,16,1.160097933,5,7,0,6,,,,
056_996.mp4,12.48,13,1.146929264,5,7,0,6,,,,
057_070.mp4,14.68,10,1.665714847,2,3,0,2.5,,,,
058_039.mp4,20.3,51,0.535417423,13,12,12,12.5,,,,
059_050.mp4,21.2,41,0.593279892,11,8,11,9.75,,,,
060_088.mp4,26.6,46,0.634818527,10,10,5,8.4,,,,
061_080.mp4,13.48,20,0.672816967,9,7,0,8,,,,
062_066.mp4,14.1,5,3.342942178,1,2,0,1.5,,,,
063_041.mp4,13.96,12,1.391703714,5,3,0,4,,,,
064_991.mp4,16.08,18,0.929376813,6,9,3,6,,,,
065_089.mp4,17.68,30,0.659547025,11,9,7,9,,,,
066_062.mp4,14.1,38,0.512155166,15,11,0,13,,,,
067_025.mp4,17.93333333,6,4.680321074,1,2,2,1.666666667,,,,
068_028.mp4,13.36666667,2,9.589707375,1,0,0,0.5,,,,
069_961.mp4,10.76666667,10,1.525426335,4,5,0,4.5,,,,
070_057.mp4,14.68,24,0.710382887,6,10,0,8,,,,
071_054.mp4,12.26666667,2,5.94260335,1,1,0,1,,,,
072_037.mp4,12.44,6,2.295347834,2,2,0,2,,,,
073_024.mp4,12.24,0,0,0,0,0,0,,,,
074_825.mp4,13.8,2,3.358305931,2,0,0,1,,,,
075_977.mp4,20.43333333,1,0,0,0,0,0,,,,
076_079.mp4,10.96666667,14,1.121733207,8,3,0,5.5,,,,
077_100.mp4,16.92,0,0,0,0,0,0,,,,
078_955.mp4,20.92,11,2.166480374,4,3,1,2.75,,,,
079_076.mp4,10.96666667,3,7.086621284,2,0,0,1,,,,
080_061.mp4,13.48,4,3.659890652,1,1,0,1,,,,
081_087.mp4,12.36,13,1.08393242,4,6,0,5,,,,
082_103.mp4,12.64,4,3.015565713,2,2,0,2,,,,
083_213.mp4,12.6,21,1.095791078,11,8,0,9.5,,,,
084_042.mp4,22.53333333,15,1.410749231,3,1,1,3,,,,
085_124.mp4,12.72,12,1.174249779,6,4,0,5,,,,
086_090.mp4,22.9,3,9.592606544,1,0,1,0.75,,,,
087_081.mp4,12.36,0,0,0,0,0,0,,,,
088_060.mp4,26.6,8,3.922162056,4,1,2,1.6,,,,
089_065.mp4,17.68,20,1.014090488,7,5,6,6,,,,
090_086.mp4,22.9,4,1.953511079,0,0,2,1,,,,
091_116.mp4,10.9,0,0,0,0,0,0,,,,
092_098.mp4,11.96,28,0.493323291,12,12,0,12,,,,
093_121.mp4,12.83333333,0,0,0,0,0,0,,,,
094_111.mp4,17.32,5,3.912052274,1,2,2,1.666666667,,,,
095_053.mp4,16.68,5,1.788948894,2,3,0,1.666666667,,,,
096_101.mp4,16.8,0,0,0,0,0,0,,,,
097_033.mp4,19.12,27,0.818615391,7,7,7,7,,,,
098_092.mp4,11.96,21,0.639149845,8,10,0,9,,,,
099_295.mp4,16.44,5,4.746749163,1,2,1,1.333333333,,,,
100_077.mp4,16.92,9,2.268250436,3,3,2,2.666666667,,,,
101_096.mp4,16.8,3,4.108998775,0,1,1,0.666666667,,,,
102_114.mp4,15.56,39,0.449842051,13,12,13,12.66666667,,,,
103_082.mp4,12.64,1,0,1,0,0,0.5,,,,
104_126.mp4,10.93333333,16,0.894064665,5,11,0,8,,,,
105_180.mp4,10,2,10.21100187,1,1,0,1,,,,
106_198.mp4,11.86666667,14,1.155999807,7,6,0,6.5,,,,
107_109.mp4,11.92,5,2.33874923,2,1,0,1.5,,,,
108_052.mp4,10,7,1.508333127,1,6,0,3.5,,,,
109_107.mp4,11.92,9,1.473624736,3,4,0,3.5,,,,
110_043.mp4,16.5,24,0.936370642,7,5,9,7,,,,
111_094.mp4,17.32,40,0.469974347,13,11,12,12,,,,
112_892.mp4,10.36666667,9,2.024999827,5,3,0,4,,,,
113_983.mp4,16.24,3,0.463497043,0,0,3,1,,,,
114_102.mp4,15.56,5,3.284499943,2,2,1,1.666666667,,,,
115_939.mp4,10.66666667,32,0.458451794,15,15,0,15,,,,
116_091.mp4,10.9,3,3.262499094,0,1,0,0.5,,,,
117_217.mp4,21.92,17,1.467875004,4,3,6,4,,,,
118_120.mp4,14.08,33,0.492937557,12,11,0,11.5,,,,
119_123.mp4,17.31034483,1,0,1,0,0,0.333333333,,,,
120_118.mp4,14.08,2,5.624008417,1,1,0,1,,,,
121_093.mp4,12.83333333,2,4.62800169,2,0,0,1,,,,
122_144.mp4,10.65517241,8,1.955285856,4,3,0,3.5,,,,
123_119.mp4,16.73333333,13,1.807166715,6,4,1,3.666666667,,,,
124_085.mp4,12.72,0,0,0,0,0,0,,,,
125_038.mp4,10.16666667,4,1.414665858,0,4,0,2,,,,
126_104.mp4,10.93333333,17,0.647749841,3,12,0,7.5,,,,
127_129.mp4,11,3,4.058999538,2,1,0,1.5,,,,
128_896.mp4,21.24,26,0.790201197,1,7,5,6,,,,
129_127.mp4,11,33,0.457000904,15,15,0,15,,,,
130_139.mp4,15.12,2,7.603997946,0,1,1,0.666666667,,,,
131_518.mp4,16.38888889,0,0,0,0,0,0,,,,
132_007.mp4,16.52,4,3.420333783,0,1,1,0.666666667,,,,
133_148.mp4,15.83333333,0,0,0,0,0,0,,,,
134_192.mp4,9.566666667,4,2.969665766,2,0,0,2,,,,
135_880.mp4,13.625,33,0.465031251,12,12,0,12,,,,
136_285.mp4,12.76666667,27,0.607307562,8,15,0,11.5,,,,
137_165.mp4,15.48,18,0.947647277,3,7,7,5.666666667,,,,
138_142.mp4,16.4,0,0,0,0,0,0,,,,
139_130.mp4,15.12,2,2.832996845,2,0,0,0.666666667,,,,
140_143.mp4,16.56,33,0.545531161,8,11,12,10.33333333,,,,
141_161.mp4,12.3,3,5.205002308,2,0,0,1,,,,
142_138.mp4,16.4,18,0.884060593,10,3,5,6,,,,
143_140.mp4,16.56,29,0.598000194,10,9,10,9.666666667,,,,
144_122.mp4,10.3,4,2.794332902,3,1,0,2,,,,
145_299.mp4,20.93333333,0,0,0,0,0,0,,,,
146_256.mp4,22.75,20,1.275526373,4,5,2,3.75,,,,
147_055.mp4,13.13333333,22,0.737095322,6,11,0,8.5,,,,
148_133.mp4,15.83333333,11,1.741499925,3,7,1,3.666666667,,,,
149_152.mp4,12.52,0,0,0,0,0,0,,,,
150_153.mp4,18.24,9,2.520000011,5,2,1,2.666666667,,,,
151_225.mp4,10.13333333,0,0,0,0,0,0,,,,
152_149.mp4,12.52,0,0,0,0,0,0,,,,
153_150.mp4,18.24,10,2.049999926,5,1,1,2.333333333,,,,
154_386.mp4,14.96666667,3,4.546000957,0,1,0,0.5,,,,
155_576.mp4,18.44,0,0,0,0,0,0,,,,
