檔案名稱,影片秒數,眨眼次數,平均眨眼秒數,,平均眨眼次數,平均平均間隔眨眼秒數
000_003.mp4,15.84,7,2.566434066,,20.024,1.534897339
001_870.mp4,18.4,23,0.833365906,,,
002_006.mp4,23.1,50,0.649686225,,,
003_000.mp4,12.12,15,0.93407493,,,
004_982.mp4,12.36,24,0.600749513,,,
005_010.mp4,15.4,15,1.225991113,,,
006_002.mp4,10.33333333,13,0.46386387,,,
007_132.mp4,20.2,22,1.059510549,,,
008_990.mp4,25.48,24,1.248734754,,,
009_027.mp4,19.6,43,0.629820284,,,
010_005.mp4,18.96,3,5.410954118,,,
011_805.mp4,26.33333333,64,0.59138566,,,
012_026.mp4,14.52,5,3.938184321,,,
013_883.mp4,13.28,0,0,,,
014_790.mp4,22.53333333,68,0.512945855,,,
015_919.mp4,14.56666667,43,0.477037135,,,
016_209.mp4,22.6,59,0.550914012,,,
017_803.mp4,15.92,0,0,,,
018_019.mp4,14.4,2,4.363408566,,,
019_018.mp4,46.16666667,54,1.275622858,,,
020_344.mp4,15.6,39,0.551399413,,,
021_312.mp4,14.36666667,22,0.867748045,,,
022_489.mp4,10.83333333,2,10.02396917,,,
023_923.mp4,22.12,25,1.098163446,,,
024_073.mp4,12.24,11,1.53053422,,,
025_067.mp4,24.9,6,5.138124609,,,
026_012.mp4,12.88,29,0.587023999,,,
027_009.mp4,10.5,23,0.673969074,,,
028_068.mp4,14.46666667,1,0,,,
029_048.mp4,16.64,3,8.751153946,,,
030_193.mp4,9.9,6,1.68179431,,,
031_163.mp4,16.06666667,9,2.186583787,,,
032_944.mp4,10.33333333,0,0,,,
033_097.mp4,32.36,74,0.522024808,,,
034_590.mp4,13.56666667,1,0,,,
035_036.mp4,16.92,0,0,,,
036_035.mp4,13.48,7,0.909208695,,,
037_072.mp4,18.16,7,1.905001958,,,
038_125.mp4,10.16666667,1,0,,,
039_058.mp4,20.3,61,0.481719422,,,
040_997.mp4,21.92,7,4.096525749,,,
041_063.mp4,13.96,13,1.24087733,,,
042_084.mp4,14.08333333,7,2.666993618,,,
043_110.mp4,16.5,50,0.58121273,,,
044_945.mp4,11.16666667,16,1.196455701,,,
045_889.mp4,14,0,0,,,
046_904.mp4,16.8,0,0,,,
047_862.mp4,10.63333333,13,1.394952198,,,
048_029.mp4,19.4,0,0,,,
049_946.mp4,12,8,2.319697857,,,
050_059.mp4,21.2,21,0.986637628,,,
051_332.mp4,28.68,64,0.61107665,,,
052_108.mp4,10.76666667,8,2.528461116,,,
053_095.mp4,16.68,24,0.856045215,,,
054_071.mp4,12.26666667,0,0,,,
055_147.mp4,13.13333333,31,0.579868102,,,
056_996.mp4,14.92,37,0.488848792,,,
057_070.mp4,17.24,43,0.455339176,,,
058_039.mp4,22.3,11,2.731650686,,,
059_050.mp4,28.84,51,0.656129346,,,
060_088.mp4,33.76,52,0.743600803,,,
061_080.mp4,13.48,26,0.620056963,,,
062_066.mp4,14.1,43,0.477970617,,,
063_041.mp4,37.2,81,0.580856606,,,
064_991.mp4,16.08,14,0.918760483,,,
065_089.mp4,17.68,0,0,,,
066_062.mp4,14.5,25,0.883209646,,,
067_025.mp4,17.93333333,0,0,,,
068_028.mp4,13.36666667,1,0,,,
069_961.mp4,25.8,20,1.767300104,,,
070_057.mp4,14.68,1,0,,,
071_054.mp4,15.1,31,0.698827378,,,
072_037.mp4,12.44,2,2.793976068,,,
073_024.mp4,28.12,0,0,,,
074_825.mp4,13.8,0,0,,,
075_977.mp4,20.43333333,9,2.112554848,,,
076_079.mp4,10.96666667,0,0,,,
077_100.mp4,24.44,0,0,,,
078_955.mp4,20.92,1,0,,,
079_076.mp4,14.13333333,43,0.496907223,,,
080_061.mp4,19.32,37,0.660655883,,,
081_087.mp4,46.8,32,1.834842659,,,
082_103.mp4,12.64,2,5.279654741,,,
083_213.mp4,18.16666667,38,0.878704645,,,
084_042.mp4,25,28,0.825346152,,,
085_124.mp4,13.16,3,0.648361325,,,
086_090.mp4,31.16666667,0,0,,,
087_081.mp4,12.36,8,1.471342972,,,
088_060.mp4,26.6,22,1.400246416,,,
089_065.mp4,30.04,76,0.499256643,,,
090_086.mp4,22.9,58,0.583187275,,,
