檔案名稱,影片秒數,眨眼次數,平均間隔眨眼秒數,,平均眨眼次數,平均平均間隔眨眼秒數
000.mp4,15.84,9,1.898395211,,18.135,1.84649968
001.mp4,18.4,11,1.441584611,,,
002.mp4,23.1,53,0.629911487,,,
003.mp4,12.12,28,0.509106203,,,
004.mp4,12.36,13,0.936296841,,,
005.mp4,15.4,6,2.133560467,,,
006.mp4,10.33333333,15,0.779904468,,,
007.mp4,20.2,26,0.968871956,,,
008.mp4,25.48,19,1.47141793,,,
009.mp4,19.6,47,0.636686403,,,
010.mp4,18.96,18,1.38532682,,,
011.mp4,26.33333333,14,1.824088592,,,
012.mp4,14.52,9,1.871873617,,,
013.mp4,13.28,0,0,,,
014.mp4,22.53333333,48,0.709568135,,,
015.mp4,14.56666667,23,0.861512043,,,
016.mp4,22.6,16,2.029321496,,,
017.mp4,13.26666667,18,1.186936869,,,
018.mp4,14.4,20,1.149704544,,,
019.mp4,46.16666667,4,15.40991974,,,
020.mp4,15.6,38,0.538441729,,,
021.mp4,14.36666667,35,0.634430037,,,
022.mp4,10.83333333,1,0,,,
023.mp4,22.12,0,0,,,
024.mp4,12.24,6,2.194760084,,,
025.mp4,24.9,0,0,,,
026.mp4,12.88,17,0.900958404,,,
027.mp4,10.5,5,1.891432285,,,
028.mp4,14.46666667,1,0,,,
029.mp4,16.64,0,0,,,
030.mp4,9.9,9,1.243792236,,,
031.mp4,16.06666667,23,1.095275109,,,
032.mp4,10.33333333,11,1.349247718,,,
033.mp4,32.36,78,0.536011163,,,
034.mp4,13.56666667,24,0.884756835,,,
035.mp4,16.92,1,0,,,
036.mp4,13.48,9,2.034046143,,,
037.mp4,18.16,3,5.418164372,,,
038.mp4,10.16666667,1,0,,,
039.mp4,20.3,13,2.600249867,,,
040.mp4,21.92,5,6.428316474,,,
041.mp4,13.96,18,0.946407613,,,
042.mp4,22.53333333,20,0.872595925,,,
043.mp4,16.5,32,0.835191442,,,
044.mp4,11.16666667,8,2.285130365,,,
045.mp4,14,3,8.835444808,,,
046.mp4,16.8,5,4.235927105,,,
047.mp4,10.63333333,9,1.91122672,,,
048.mp4,19.4,18,0.945002093,,,
049.mp4,12,7,2.710238695,,,
050.mp4,21.2,53,0.48128863,,,
051.mp4,28.68,27,1.247863953,,,
052.mp4,10.76666667,4,5.903440555,,,
053.mp4,16.68,0,0,,,
054.mp4,12.26666667,12,1.520759019,,,
055.mp4,13.13333333,25,0.770838569,,,
056.mp4,14.92,19,0.79990081,,,
057.mp4,17.24,10,1.727990468,,,
058.mp4,22.3,64,0.493659678,,,
059.mp4,28.84,44,0.798765842,,,
060.mp4,33.76,63,0.647524849,,,
061.mp4,13.48,18,0.768168996,,,
062.mp4,14.1,8,2.4517591,,,
063.mp4,37.2,27,1.599715306,,,
064.mp4,16.08,26,0.682126598,,,
065.mp4,17.68,32,0.6867737,,,
066.mp4,14.5,43,0.467147146,,,
067.mp4,17.93333333,5,6.214560509,,,
068.mp4,13.36666667,1,0,,,
069.mp4,25.8,22,1.794652099,,,
070.mp4,14.68,22,0.826449122,,,
071.mp4,15.1,8,3.019634587,,,
072.mp4,12.44,7,2.004759391,,,
073.mp4,28.12,0,0,,,
074.mp4,13.8,3,5.307711601,,,
075.mp4,20.43333333,3,9.829888225,,,
076.mp4,10.96666667,12,1.446513913,,,
077.mp4,24.44,0,0,,,
078.mp4,20.92,8,3.410981655,,,
079.mp4,14.13333333,8,2.978094271,,,
080.mp4,19.32,14,1.660913889,,,
081.mp4,46.8,28,1.937532301,,,
082.mp4,12.64,3,4.122933388,,,
