frame,EyeAspectRatio,left_eye_landmarks,right_eye_landmarks,Label
"[[[ 21   4   0]
  [ 21   4   0]
  [ 21   4   0]
  ...
  [ 14   0   9]
  [ 15   0  10]
  [ 16   0  11]]

 [[ 61  44  38]
  [ 61  44  38]
  [ 61  44  38]
  ...
  [ 67  47  62]
  [ 69  49  64]
  [ 69  49  64]]

 [[114  84  78]
  [114  84  78]
  [114  84  78]
  ...
  [114  91 124]
  [117  91 125]
  [117  91 125]]

 ...

 [[190 151  96]
  [190 151  96]
  [190 151  96]
  ...
  [197 156  95]
  [197 156  95]
  [197 156  95]]

 [[190 151  96]
  [190 151  96]
  [190 151  96]
  ...
  [197 156  95]
  [197 156  95]
  [197 156  95]]

 [[190 151  96]
  [190 151  96]
  [190 151  96]
  ...
  [197 156  95]
  [197 156  95]
  [197 156  95]]]",0.284174860584687,"[(282, 149), (287, 145), (294, 145), (300, 148), (294, 150), (287, 150)]","[(327, 147), (334, 143), (341, 143), (347, 146), (341, 148), (334, 148)]",0
"[[[ 21   4   0]
  [ 21   4   0]
  [ 21   4   0]
  ...
  [ 14   0   9]
  [ 15   0  10]
  [ 16   0  11]]

 [[ 61  44  38]
  [ 61  44  38]
  [ 61  44  38]
  ...
  [ 67  47  62]
  [ 69  49  64]
  [ 69  49  64]]

 [[114  84  78]
  [114  84  78]
  [114  84  78]
  ...
  [114  91 124]
  [117  91 125]
  [117  91 125]]

 ...

 [[190 151  96]
  [190 151  96]
  [190 151  96]
  ...
  [197 156  95]
  [197 156  95]
  [197 156  95]]

 [[190 151  96]
  [190 151  96]
  [190 151  96]
  ...
  [197 156  95]
  [197 156  95]
  [197 156  95]]

 [[190 151  96]
  [190 151  96]
  [190 151  96]
  ...
  [197 156  95]
  [197 156  95]
  [197 156  95]]]",0.284174860584687,"[(282, 149), (287, 145), (294, 145), (300, 148), (294, 150), (287, 150)]","[(327, 147), (334, 143), (341, 143), (347, 146), (341, 148), (334, 148)]",0
"[[[ 21   4   0]
  [ 21   4   0]
  [ 21   4   0]
  ...
  [ 14   0   9]
  [ 15   0  10]
  [ 16   0  11]]

 [[ 61  44  38]
  [ 61  44  38]
  [ 61  44  38]
  ...
  [ 67  47  62]
  [ 69  49  64]
  [ 69  49  64]]

 [[114  84  78]
  [114  84  78]
  [114  84  78]
  ...
  [114  91 124]
  [117  91 125]
  [117  91 125]]

 ...

 [[190 151  96]
  [190 151  96]
  [190 151  96]
  ...
  [197 156  95]
  [197 156  95]
  [197 156  95]]

 [[190 151  96]
  [190 151  96]
  [190 151  96]
  ...
  [197 156  95]
  [197 156  95]
  [197 156  95]]

 [[190 151  96]
  [190 151  96]
  [190 151  96]
  ...
  [197 156  95]
  [197 156  95]
  [197 156  95]]]",0.284174860584687,"[(282, 149), (287, 145), (294, 145), (300, 148), (294, 150), (287, 150)]","[(327, 147), (334, 143), (341, 143), (347, 146), (341, 148), (334, 148)]",0
"[[[ 21   4   0]
  [ 21   4   0]
  [ 21   4   0]
  ...
  [ 14   0   9]
  [ 15   0  10]
  [ 16   0  11]]

 [[ 61  44  38]
  [ 61  44  38]
  [ 61  44  38]
  ...
  [ 67  47  62]
  [ 69  49  64]
  [ 69  49  64]]

 [[114  84  78]
  [114  84  78]
  [114  84  78]
  ...
  [114  91 124]
  [117  91 125]
  [117  91 125]]

 ...

 [[190 151  96]
  [190 151  96]
  [190 151  96]
  ...
  [197 156  95]
  [197 156  95]
  [197 156  95]]

 [[190 151  96]
  [190 151  96]
  [190 151  96]
  ...
  [197 156  95]
  [197 156  95]
  [197 156  95]]

 [[190 151  96]
  [190 151  96]
  [190 151  96]
  ...
  [197 156  95]
  [197 156  95]
  [197 156  95]]]",0.284174860584687,"[(282, 149), (287, 145), (294, 145), (300, 148), (294, 150), (287, 150)]","[(327, 147), (334, 143), (341, 143), (347, 146), (341, 148), (334, 148)]",0
"[[[ 21   4   0]
  [ 21   4   0]
  [ 21   4   0]
  ...
  [ 14   0   9]
  [ 15   0  10]
  [ 16   0  11]]

 [[ 61  44  38]
  [ 61  44  38]
  [ 61  44  38]
  ...
  [ 67  47  62]
  [ 69  49  64]
  [ 69  49  64]]

 [[114  84  78]
  [114  84  78]
  [114  84  78]
  ...
  [114  91 124]
  [117  91 125]
  [117  91 125]]

 ...

 [[190 151  96]
  [190 151  96]
  [190 151  96]
  ...
  [197 156  95]
  [197 156  95]
  [197 156  95]]

 [[190 151  96]
  [190 151  96]
  [190 151  96]
  ...
  [197 156  95]
  [197 156  95]
  [197 156  95]]

 [[190 151  96]
  [190 151  96]
  [190 151  96]
  ...
  [197 156  95]
  [197 156  95]
  [197 156  95]]]",0.27852399309669607,"[(282, 148), (287, 144), (294, 144), (300, 148), (294, 150), (287, 150)]","[(328, 147), (334, 143), (341, 143), (347, 146), (341, 148), (334, 148)]",0
"[[[ 21   4   0]
  [ 21   4   0]
  [ 21   4   0]
  ...
  [ 14   0   9]
  [ 15   0  10]
  [ 16   0  11]]

 [[ 61  44  38]
  [ 61  44  38]
  [ 61  44  38]
  ...
  [ 67  47  62]
  [ 69  49  64]
  [ 69  49  64]]

 [[114  84  78]
  [114  84  78]
  [114  84  78]
  ...
  [114  91 124]
  [117  91 125]
  [117  91 125]]

 ...

 [[190 151  96]
  [190 151  96]
  [190 151  96]
  ...
  [197 156  95]
  [197 156  95]
  [197 156  95]]

 [[190 151  96]
  [190 151  96]
  [190 151  96]
  ...
  [197 156  95]
  [197 156  95]
  [197 156  95]]

 [[190 151  96]
  [190 151  96]
  [190 151  96]
  ...
  [197 156  95]
  [197 156  95]
  [197 156  95]]]",0.27852399309669607,"[(282, 148), (287, 144), (294, 144), (300, 148), (294, 150), (287, 150)]","[(328, 147), (334, 143), (341, 143), (347, 146), (341, 148), (334, 148)]",0
"[[[ 21   4   0]
  [ 21   4   0]
  [ 21   4   0]
  ...
  [ 14   0   9]
  [ 15   0  10]
  [ 16   0  11]]

 [[ 61  44  38]
  [ 61  44  38]
  [ 61  44  38]
  ...
  [ 67  47  62]
  [ 69  49  64]
  [ 69  49  64]]

 [[114  84  78]
  [114  84  78]
  [114  84  78]
  ...
  [114  91 124]
  [117  91 125]
  [117  91 125]]

 ...

 [[190 151  96]
  [190 151  96]
  [190 151  96]
  ...
  [197 156  95]
  [197 156  95]
  [197 156  95]]

 [[190 151  96]
  [190 151  96]
  [190 151  96]
  ...
  [197 156  95]
  [197 156  95]
  [197 156  95]]

 [[190 151  96]
  [190 151  96]
  [190 151  96]
  ...
  [197 156  95]
  [197 156  95]
  [197 156  95]]]",0.29806374947357583,"[(282, 148), (287, 144), (294, 144), (300, 148), (294, 149), (287, 150)]","[(328, 147), (334, 143), (341, 143), (347, 146), (341, 148), (334, 148)]",0
"[[[ 21   4   0]
  [ 21   4   0]
  [ 21   4   0]
  ...
  [ 14   0   9]
  [ 15   0  10]
  [ 16   0  11]]

 [[ 61  44  38]
  [ 61  44  38]
  [ 61  44  38]
  ...
  [ 67  47  62]
  [ 69  49  64]
  [ 69  49  64]]

 [[114  84  78]
  [114  84  78]
  [114  84  78]
  ...
  [114  91 124]
  [117  91 125]
  [117  91 125]]

 ...

 [[190 151  96]
  [190 151  96]
  [190 151  96]
  ...
  [197 156  95]
  [197 156  95]
  [197 156  95]]

 [[190 151  96]
  [190 151  96]
  [190 151  96]
  ...
  [197 156  95]
  [197 156  95]
  [197 156  95]]

 [[190 151  96]
  [190 151  96]
  [190 151  96]
  ...
  [197 156  95]
  [197 156  95]
  [197 156  95]]]",0.29806374947357583,"[(282, 148), (287, 144), (294, 144), (300, 148), (294, 149), (287, 150)]","[(328, 147), (334, 143), (341, 143), (347, 146), (341, 148), (334, 148)]",0
"[[[ 21   4   0]
  [ 21   4   0]
  [ 21   4   0]
  ...
  [ 14   0   9]
  [ 15   0  10]
  [ 16   0  11]]

 [[ 61  44  38]
  [ 61  44  38]
  [ 61  44  38]
  ...
  [ 67  47  62]
  [ 69  49  64]
  [ 69  49  64]]

 [[114  84  78]
  [114  84  78]
  [114  84  78]
  ...
  [114  91 124]
  [117  91 125]
  [117  91 125]]

 ...

 [[190 151  96]
  [190 151  96]
  [190 151  96]
  ...
  [197 156  95]
  [197 156  95]
  [197 156  95]]

 [[190 151  96]
  [190 151  96]
  [190 151  96]
  ...
  [197 156  95]
  [197 156  95]
  [197 156  95]]

 [[190 151  96]
  [190 151  96]
  [190 151  96]
  ...
  [197 156  95]
  [197 156  95]
  [197 156  95]]]",0.28393963676884715,"[(282, 148), (287, 144), (294, 144), (300, 148), (294, 150), (287, 150)]","[(327, 147), (334, 143), (341, 143), (346, 146), (341, 148), (334, 148)]",0
"[[[ 21   4   0]
  [ 21   4   0]
  [ 21   4   0]
  ...
  [ 14   0   9]
  [ 15   0  10]
  [ 16   0  11]]

 [[ 61  44  38]
  [ 61  44  38]
  [ 61  44  38]
  ...
  [ 67  47  62]
  [ 69  49  64]
  [ 69  49  64]]

 [[114  84  78]
  [114  84  78]
  [114  84  78]
  ...
  [114  91 124]
  [117  91 125]
  [117  91 125]]

 ...

 [[190 151  96]
  [190 151  96]
  [190 151  96]
  ...
  [197 156  95]
  [197 156  95]
  [197 156  95]]

 [[190 151  96]
  [190 151  96]
  [190 151  96]
  ...
  [197 156  95]
  [197 156  95]
  [197 156  95]]

 [[190 151  96]
  [190 151  96]
  [190 151  96]
  ...
  [197 156  95]
  [197 156  95]
  [197 156  95]]]",0.284174860584687,"[(282, 148), (287, 144), (294, 144), (300, 148), (294, 149), (287, 150)]","[(327, 147), (334, 143), (341, 143), (346, 146), (341, 148), (334, 148)]",0
