Noise,Label
2357,0
13851,0
3541,0
2817,0
5100,0
1778,0
4467,0
2817,0
2911,0
3748,0
2926,0
5371,0
4887,0
2076,0
4418,0
2259,0
3409,0
4680,0
1014,0
1386,0
4738,0
1756,0
7097,0
4410,0
2346,0
7551,0
3148,0
2723,0
2152,0
2179,0
21456,0
3115,0
10246,0
3338,0
4534,0
933,0
4493,0
3730,0
2661,0
5486,0
6013,0
3820,0
3539,0
3741,0
4777,0
11650,0
7677,0
2550,0
2535,0
3432,0
1176,0
5771,0
20001,0
3020,0
1823,0
3026,0
1693,0
1523,0
3085,0
1493,0
3692,0
2325,0
5763,0
1946,0
4107,0
9503,0
5007,0
7077,0
2096,0
9418,0
2085,0
1842,0
2686,0
5482,0
8769,0
13216,0
12239,0
4246,0
2508,0
15965,0
1575,0
1543,0
2692,0
18707,0
11868,0
2935,0
6141,0
1439,0
2186,0
9625,0
5646,0
3767,0
4135,0
5295,0
1426,0
3315,0
13549,0
2658,0
3855,0
23772,0
2201,0
2822,0
2795,0
887,0
4559,0
4235,0
5049,0
4411,0
5694,0
4664,0
3259,0
4065,0
14815,0
8464,0
1572,0
3251,0
2591,0
12839,0
3273,0
2636,0
1219,0
7131,0
7428,0
3036,0
2325,0
6900,0
3581,0
7908,0
2184,0
4630,0
1558,0
1342,0
1827,0
3306,0
2743,0
2744,0
3529,0
2680,0
2705,0
1777,0
1588,0
3410,0
955,0
2680,0
5069,0
791,0
6071,0
1727,0
2850,0
3829,0
3483,0
4292,0
4260,0
2250,0
13621,0
5517,0
2202,0
2842,0
3037,0
2347,0
7482,0
4003,0
12642,0
4735,0
4373,0
3567,0
2248,0
1396,0
2263,0
1722,0
5868,0
8129,0
3419,0
8524,0
5807,0
2965,0
24856,0
6213,0
1472,0
4206,0
3218,0
2398,0
1880,0
3097,0
4543,0
2554,0
15945,0
10728,0
9222,0
2092,0
5695,0
5144,0
3784,0
20566,0
5175,0
1633,0
2521,0
2388,0
5314,0
5508,0
2788,0
4316,0
3730,0
2310,0
6188,0
3409,0
1459,0
3123,0
4984,0
4898,0
3302,0
10225,0
4112,0
7620,0
2672,0
2645,0
5551,0
10311,0
2253,0
2861,0
4202,0
5221,0
3089,0
20508,0
4174,0
3598,0
5273,0
8261,0
2708,0
2207,0
1623,0
1457,0
3739,0
4960,0
2254,0
3854,0
3204,0
9891,0
1487,0
2607,0
4097,0
2547,0
1710,0
5473,0
5865,0
3196,0
6155,0
2285,0
4982,0
3900,0
6833,0
8170,0
4457,0
2731,0
3436,0
7729,0
2108,0
1646,0
3567,0
4126,0
1537,0
1706,0
1806,0
422,0
2984,0
4909,0
4496,0
3081,0
1825,0
2823,0
1724,0
2756,0
1063,0
3554,0
2959,0
2866,0
3893,0
8891,0
3057,0
3953,0
2094,0
4353,0
3622,0
3133,0
22706,0
5712,0
12875,0
15678,0
2463,0
2495,0
1619,0
7494,0
3443,0
5204,0
6356,0
265,0
2692,0
4653,0
4333,0
5389,0
1330,0
3282,0
6471,0
2040,0
3064,0
3829,0
2162,0
1856,0
3037,0
1751,0
4521,0
2491,0
1611,0
3171,0
4270,0
3953,0
3093,0
2625,0
3535,0
2993,0
4601,0
2621,0
3052,0
2351,0
4621,0
2894,0
3102,0
2082,0
7686,0
3549,0
5388,0
3136,0
6834,0
3523,0
2149,0
11119,0
4787,0
5088,0
1218,0
2827,0
17070,0
16882,0
2098,0
2506,0
2673,0
3242,0
1592,0
2192,0
1774,0
4339,0
3923,0
