Noise,Label
2341,1
13974,1
3678,1
2688,1
5114,1
1766,1
4630,1
2805,1
2921,1
3838,1
2915,1
5155,1
4896,1
2128,1
4473,1
2341,1
3445,1
4423,1
994,1
1495,1
4990,1
1756,1
7092,1
4438,1
2471,1
10063,1
3132,1
2862,1
2144,1
2182,1
21163,1
3299,1
10760,1
3354,1
4733,1
950,1
4516,1
3738,1
2576,1
5673,1
6039,1
3866,1
3555,1
3817,1
4701,1
10145,1
8184,1
2553,1
2607,1
3397,1
1226,1
5666,1
19656,1
3017,1
1912,1
3033,1
1774,1
1653,1
3057,1
1460,1
3778,1
2376,1
5729,1
2159,1
4361,1
9465,1
5062,1
7060,1
2030,1
9746,1
2133,1
1849,1
2672,1
5258,1
8770,1
14122,1
12780,1
4237,1
2627,1
15994,1
1562,1
1578,1
2743,1
18633,1
11621,1
2968,1
6107,1
1472,1
2209,1
9645,1
5903,1
4153,1
4152,1
5407,1
1434,1
3307,1
13619,1
2628,1
3830,1
24908,1
2269,1
2883,1
2895,1
872,1
4775,1
4261,1
5174,1
4444,1
5517,1
4713,1
3171,1
4131,1
15379,1
8585,1
1584,1
3281,1
2576,1
12937,1
3274,1
2671,1
1269,1
8152,1
7902,1
3025,1
2345,1
6915,1
3301,1
7995,1
2381,1
4806,1
1557,1
1398,1
1828,1
3356,1
2802,1
2894,1
3538,1
2772,1
2696,1
1797,1
1596,1
3325,1
918,1
2662,1
6324,1
779,1
6212,1
1862,1
2851,1
3827,1
3481,1
4426,1
4329,1
2291,1
14073,1
5529,1
2194,1
2843,1
3054,1
2398,1
7673,1
4045,1
12480,1
5189,1
4427,1
3591,1
2236,1
1461,1
2274,1
1773,1
5113,1
8584,1
3527,1
8780,1
5831,1
2982,1
24007,1
5908,1
1469,1
4102,1
3271,1
2417,1
1878,1
3228,1
4562,1
2691,1
16307,1
10904,1
9317,1
2165,1
5117,1
5256,1
3853,1
23203,1
5172,1
1673,1
2604,1
2393,1
5335,1
5538,1
2794,1
4355,1
3727,1
2593,1
6275,1
3480,1
1432,1
3171,1
5006,1
4911,1
3427,1
10397,1
4214,1
7469,1
2917,1
2688,1
5509,1
10467,1
2276,1
2892,1
4184,1
5216,1
3077,1
20260,1
4222,1
3625,1
5435,1
8203,1
2770,1
2235,1
1779,1
1452,1
3722,1
4983,1
2257,1
3890,1
3239,1
9887,1
1485,1
2608,1
4171,1
2652,1
1744,1
5475,1
5903,1
3235,1
6173,1
2251,1
5022,1
3961,1
6835,1
8170,1
4527,1
3293,1
3449,1
7583,1
1936,1
1621,1
3744,1
4092,1
1584,1
1703,1
1814,1
485,1
2978,1
4662,1
4472,1
3446,1
1814,1
2834,1
1737,1
2738,1
1105,1
3604,1
3024,1
3864,1
3939,1
8770,1
3087,1
4005,1
2142,1
4369,1
3617,1
3086,1
24652,1
5737,1
12947,1
15808,1
2510,1
2517,1
1605,1
7030,1
3567,1
5255,1
6395,1
355,1
2727,1
4727,1
4304,1
5514,1
1328,1
3276,1
6512,1
2051,1
3116,1
3830,1
2177,1
1861,1
3062,1
1785,1
4588,1
2520,1
1643,1
3178,1
4266,1
4379,1
3350,1
2660,1
3550,1
3153,1
4727,1
2678,1
3106,1
2272,1
4558,1
3025,1
3092,1
2095,1
8711,1
3558,1
5344,1
3153,1
6837,1
3529,1
2151,1
11295,1
4848,1
5101,1
1274,1
2806,1
16904,1
17178,1
2280,1
2492,1
2660,1
3248,1
1625,1
2299,1
1774,1
4332,1
3948,1
2852,1
5443,1
3188,1
3274,1
14955,1
3939,1
2645,1
1358,1
1181,1
6812,1
10481,1
5045,1
4305,1
3121,1
1860,1
2619,1
2691,1
4363,1
6885,1
19106,1
1458,1
2578,1
13427,1
2909,1
4740,1
3866,1
3068,1
10763,1
3446,1
4358,1
2588,1
3644,1
23345,1
7795,1
15473,1
10811,1
2707,1
2999,1
9537,1
6212,1
3262,1
11037,1
2358,1
5928,1
11460,1
3052,1
2692,1
4494,1
6055,1
8857,1
1121,1
22040,1
2305,1
4881,1
3098,1
2285,1
3170,1
4834,1
1007,1
18817,1
27216,1
9358,1
2558,1
8868,1
1437,1
12104,1
2985,1
6350,1
12516,1
2597,1
2039,1
9506,1
3829,1
2007,1
2323,1
25126,1
3417,1
7748,1
4064,1
37160,1
13605,1
3070,1
2596,1
2334,1
2713,1
2508,1
7252,1
6425,1
5208,1
2340,1
4042,1
9307,1
2785,1
4013,1
8800,1
17868,1
2438,1
12414,1
8971,1
6893,1
3595,1
2790,1
4447,1
4643,1
3859,1
5844,1
2744,1
4265,1
17170,1
308,1
2267,1
3094,1
1841,1
3055,1
10553,1
10027,1
2057,1
3804,1
4723,1
1796,1
3038,1
1361,1
1343,1
2723,1
12936,1
4356,1
17234,1
699,1
19106,1
6605,1
4721,1
5556,1
2569,1
5011,1
2311,1
3725,1
10490,1
6274,1
11199,1
11290,1
11048,1
6084,1
2049,1
5662,1
2159,1
2344,1
3039,1
1514,1
6062,1
12617,1
2142,1
2464,1
3993,1
8528,1
5055,1
