Noise,Label
2061,0
16400,0
3224,0
2254,0
7362,0
1798,0
4167,0
3862,0
2594,0
2630,0
3903,0
6080,0
4939,0
2167,0
4216,0
1744,0
3958,0
3197,0
796,0
1250,0
3536,0
4589,0
11684,0
4490,0
2868,0
27971,0
3802,0
4067,0
3593,0
4042,0
22236,0
1469,0
6953,0
4488,0
2426,0
634,0
4035,0
3348,0
1674,0
5512,0
9100,0
3443,0
2573,0
3676,0
12418,0
20728,0
9371,0
1354,0
2498,0
3317,0
1492,0
7016,0
26488,0
2964,0
2287,0
2651,0
1644,0
1298,0
4150,0
2076,0
2994,0
2435,0
5813,0
2001,0
4095,0
13058,0
5069,0
6925,0
3089,0
6764,0
1799,0
3470,0
2653,0
9964,0
9754,0
13597,0
17972,0
2253,0
1888,0
13716,0
2668,0
2166,0
3501,0
22722,0
20874,0
3904,0
10143,0
1325,0
2223,0
17212,0
3829,0
3839,0
3160,0
4809,0
2234,0
4954,0
17587,0
3280,0
3000,0
20309,0
2322,0
2688,0
2759,0
1414,0
5052,0
4610,0
4597,0
4569,0
22269,0
4849,0
7451,0
3283,0
7335,0
4634,0
1303,0
8477,0
3077,0
18223,0
3374,0
2182,0
1962,0
4930,0
6412,0
4217,0
1132,0
7087,0
3762,0
10798,0
2224,0
3669,0
1349,0
1382,0
1165,0
3133,0
4675,0
2754,0
3191,0
2555,0
2270,0
2037,0
1815,0
2135,0
872,0
3124,0
15150,0
1138,0
3947,0
2142,0
1861,0
3815,0
1734,0
3900,0
4180,0
2516,0
16905,0
4318,0
2290,0
2766,0
4790,0
1987,0
4731,0
3876,0
16096,0
3438,0
3961,0
2311,0
3148,0
1399,0
3375,0
1750,0
13844,0
9542,0
1912,0
4800,0
8939,0
3390,0
45644,0
5228,0
1962,0
4622,0
4378,0
2924,0
2377,0
3672,0
4766,0
3284,0
16260,0
9294,0
8664,0
2489,0
29777,0
2762,0
3922,0
36463,0
5374,0
1961,0
3206,0
2213,0
7081,0
6508,0
1879,0
3562,0
4899,0
4195,0
3606,0
3169,0
2104,0
1522,0
5022,0
4812,0
3501,0
4382,0
2827,0
12078,0
2247,0
2896,0
3678,0
7237,0
1982,0
3332,0
4124,0
6139,0
3703,0
49072,0
4418,0
2590,0
2158,0
9865,0
2815,0
545,0
1925,0
3279,0
5483,0
4831,0
3561,0
3647,0
2512,0
7733,0
1506,0
2300,0
4514,0
1745,0
2265,0
14446,0
8344,0
2900,0
3823,0
1671,0
4834,0
4376,0
9624,0
5943,0
3062,0
3381,0
3648,0
14450,0
7686,0
3167,0
3311,0
4082,0
1395,0
3033,0
1758,0
434,0
2373,0
28321,0
2211,0
1909,0
2836,0
3168,0
1445,0
3050,0
1463,0
2241,0
3574,0
6436,0
1588,0
16406,0
3127,0
3391,0
2466,0
4921,0
3789,0
4346,0
24867,0
2700,0
6910,0
6953,0
3382,0
1786,0
2070,0
28520,0
2923,0
4435,0
5762,0
385,0
3257,0
5172,0
5317,0
5219,0
2013,0
3717,0
6264,0
1370,0
2493,0
6858,0
1851,0
2129,0
1890,0
1544,0
4507,0
2842,0
2584,0
3262,0
6347,0
7598,0
4730,0
2493,0
2921,0
2914,0
13866,0
2285,0
4726,0
1766,0
3681,0
2277,0
1180,0
2455,0
17771,0
4532,0
1328,0
2870,0
7349,0
4035,0
2918,0
11692,0
5191,0
4921,0
2441,0
2127,0
19758,0
11998,0
2528,0
1531,0
2403,0
4081,0
1333,0
1402,0
2910,0
4297,0
4536,0
3266,0
3951,0
2496,0
3809,0
7050,0
3599,0
3170,0
1471,0
1229,0
18895,0
11521,0
6129,0
4827,0
2403,0
1436,0
2448,0
4191,0
2503,0
5538,0
20357,0
1134,0
2005,0
13851,0
3199,0
4453,0
3268,0
3799,0
11999,0
3179,0
4436,0
1941,0
2769,0
48744,0
10063,0
15955,0
29243,0
8953,0
2535,0
7432,0
8176,0
3787,0
8624,0
2649,0
1034,0
8118,0
2242,0
1846,0
3548,0
6344,0
9397,0
1414,0
38109,0
2098,0
4956,0
3891,0
1403,0
2072,0
3804,0
1487,0
34094,0
31385,0
15907,0
1723,0
1065,0
1022,0
10029,0
4170,0
17840,0
10381,0
1455,0
1378,0
29945,0
3872,0
2637,0
2339,0
21528,0
6734,0
12227,0
4109,0
42888,0
11733,0
2125,0
2608,0
1923,0
2848,0
3037,0
4216,0
6667,0
2535,0
1856,0
2123,0
36299,0
2966,0
5089,0
11205,0
34760,0
1925,0
13876,0
7796,0
13872,0
1863,0
4102,0
13471,0
3520,0
4414,0
6165,0
2504,0
4491,0
31279,0
583,0
2854,0
2504,0
1824,0
3609,0
9676,0
10784,0
2705,0
650,0
7602,0
1827,0
2531,0
1307,0
1618,0
3199,0
21059,0
4385,0
23568,0
671,0
29690,0
6660,0
4296,0
4795,0
2625,0
4388,0
3101,0
2934,0
19194,0
8914,0
12826,0
34316,0
11226,0
6411,0
2322,0
9014,0
1771,0
5067,0
1883,0
2219,0
4238,0
2742,0
2162,0
4686,0
4768,0
16129,0
6071,0
5154,0
36032,0
24581,0
2393,0
5114,0
2352,0
5306,0
3948,0
1487,0
4344,0
40437,0
4834,0
1424,0
4620,0
855,0
2033,0
3497,0
2124,0
2401,0
3416,0
3888,0
2603,0
1746,0
40783,0
2047,0
4489,0
8321,0
26723,0
19108,0
2595,0
5830,0
7618,0
2502,0
4820,0
3112,0
1299,0
1185,0
2771,0
11177,0
3200,0
422,0
18934,0
7079,0
14725,0
6263,0
13951,0
12171,0
3988,0
13025,0
36403,0
1067,0
4267,0
4409,0
16160,0
4986,0
15856,0
5718,0
863,0
39120,0
3645,0
2927,0
2420,0
2255,0
3241,0
7359,0
14307,0
13479,0
2885,0
15508,0
3227,0
40833,0
5447,0
5026,0
6163,0
18477,0
3242,0
4431,0
3782,0
5048,0
7311,0
2408,0
3503,0
4400,0
18996,0
2717,0
3584,0
3385,0
14244,0
6018,0
2573,0
3418,0
1242,0
3333,0
2232,0
4492,0
58898,0
18641,0
3752,0
2563,0
3587,0
40132,0
1079,0
2844,0
8453,0
5209,0
10146,0
9249,0
4637,0
3754,0
3036,0
3750,0
2094,0
1576,0
12810,0
2473,0
2514,0
1968,0
5293,0
3889,0
2278,0
2074,0
1455,0
8890,0
5243,0
2799,0
12184,0
2071,0
2626,0
3256,0
4074,0
13519,0
1921,0
2975,0
8465,0
2130,0
1994,0
1950,0
44703,0
3316,0
27138,0
4069,0
20685,0
4384,0
4983,0
20840,0
1358,0
2350,0
2368,0
2750,0
2189,0
2485,0
2018,0
2542,0
3864,0
24717,0
1870,0
4199,0
717,0
2870,0
22885,0
1643,0
1107,0
3597,0
5851,0
8800,0
2679,0
4782,0
3433,0
8574,0
4962,0
26595,0
1645,0
4830,0
4576,0
1725,0
26783,0
15008,0
1887,0
4803,0
3540,0
15652,0
2443,0
2595,0
8676,0
1065,0
1019,0
2625,0
29818,0
2371,0
15801,0
981,0
1965,0
315,0
6209,0
11187,0
9438,0
4374,0
3946,0
20979,0
3274,0
10480,0
50182,0
6599,0
15991,0
2994,0
20568,0
7989,0
4936,0
3723,0
16532,0
40677,0
1328,0
1250,0
3700,0
7156,0
3374,0
29247,0
19111,0
13087,0
3785,0
1921,0
5658,0
2661,0
2752,0
3059,0
10814,0
1910,0
1518,0
2402,0
2165,0
3454,0
4510,0
2355,0
1884,0
3746,0
834,0
4030,0
1673,0
6979,0
1418,0
16846,0
3774,0
14355,0
2194,0
8214,0
5204,0
633,0
3667,0
6159,0
3817,0
1789,0
28196,0
3818,0
5465,0
3072,0
2190,0
9977,0
2392,0
1751,0
1067,0
4730,0
5026,0
4869,0
2069,0
8897,0
12416,0
5307,0
4067,0
8051,0
5804,0
17325,0
18516,0
2118,0
1582,0
2118,0
8651,0
3220,0
2661,0
36145,0
3082,0
1684,0
42517,0
3489,0
2334,0
1787,0
2650,0
7896,0
3985,0
14131,0
949,0
4909,0
1421,0
4641,0
2957,0
2337,0
969,0
8593,0
12137,0
2738,0
15718,0
4309,0
3985,0
14817,0
7590,0
2288,0
11622,0
9085,0
10593,0
6612,0
8726,0
3128,0
24609,0
2313,0
2378,0
8601,0
2880,0
13018,0
1700,0
3218,0
1768,0
2874,0
4977,0
1646,0
22048,0
4139,0
3901,0
3963,0
9052,0
9023,0
5589,0
4461,0
3663,0
2321,0
4702,0
2292,0
3852,0
1861,0
2784,0
2840,0
18204,0
8359,0
4266,0
5371,0
15124,0
1317,0
2838,0
3964,0
3234,0
4708,0
2919,0
2713,0
1549,0
17379,0
1856,0
6055,0
107,0
2528,0
8656,0
7129,0
2503,0
2060,0
16596,0
2588,0
5274,0
2722,0
4788,0
34779,0
2263,0
6333,0
2977,0
6046,0
4153,0
32182,0
3907,0
15595,0
7941,0
5791,0
3739,0
1086,0
1940,0
1092,0
2178,0
4510,0
4003,0
51398,0
6753,0
2265,0
1238,0
2029,0
4454,0
1026,0
6141,0
3504,0
5384,0
6425,0
2243,0
17041,0
12222,0
17630,0
17388,0
4907,0
4417,0
6535,0
3341,0
2081,0
3174,0
3168,0
2423,0
4976,0
1568,0
10448,0
2953,0
20901,0
15451,0
3960,0
10571,0
4136,0
2912,0
3954,0
1755,0
14944,0
2823,0
3640,0
3872,0
4692,0
10525,0
7409,0
39356,0
1267,0
2542,0
2681,0
3792,0
6107,0
5323,0
2357,0
741,0
6814,0
6153,0
8029,0
5393,0
29615,0
1990,0
46670,0
4796,0
16622,0
3967,0
1406,0
761,0
2231,0
28880,0
3711,0
19852,0
4245,0
12233,0
1342,0
1360,0
5284,0
23471,0
920,0
3824,0
2541,0
3409,0
3537,0
27944,0
21148,0
1591,0
1147,0
2732,0
6754,0
4596,0
3050,0
4278,0
2670,0
1772,0
4927,0
2050,0
1090,0
5912,0
3762,0
3550,0
3021,0
3423,0
4625,0
2256,0
1276,0
2107,0
2917,0
1689,0
3939,0
3645,0
4231,0
5355,0
